index,value
0,6
1,7
2,7
3,10
4,10
5,10
6,10
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,8
24,8
25,8
26,8
27,8
28,8
29,8
30,7
31,8
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,8
40,8
41,8
42,9
43,9
44,8
45,8
46,8
47,8
48,8
49,8
50,8
51,8
52,8
53,8
54,9
55,9
56,9
57,10
58,9
59,9
60,9
61,9
62,10
63,10
64,10
65,11
66,11
67,11
68,10
69,10
70,10
71,10
72,9
73,8
74,9
75,7
76,7
77,7
78,8
79,8
80,8
81,8
82,8
83,10
84,10
85,8
86,8
87,8
88,8
89,8
90,8
91,8
92,8
93,8
94,8
95,8
96,8
97,8
98,8
99,9
100,7
101,6
102,7
103,7
104,7
105,6
106,7
107,6
108,6
109,7
110,7
111,7
112,7
113,7
114,7
115,5
116,7
117,7
118,7
119,8
120,8
121,7
122,7
123,7
124,8
125,8
126,8
127,8
128,9
129,8
130,7
131,7
132,7
133,7
134,7
135,7
136,8
137,8
138,8
139,8
140,8
141,9
142,9
143,9
144,10
145,11
146,10
147,10
148,10
149,9
150,10
151,10
152,9
153,10
154,10
155,9
156,9
157,9
158,9
159,8
160,8
161,8
162,8
163,8
164,8
165,8
166,8
167,8
168,8
169,8
170,8
171,8
172,6
173,6
174,8
175,8
176,8
177,8
178,7
179,6
180,6
181,6
182,6
183,6
184,7
185,7
186,7
187,7
188,7
189,8
190,8
191,9
192,9
193,8
194,10
195,10
196,10
197,10
198,10
199,10
200,10
201,10
202,10
203,10
204,10
205,9
206,9
207,9
208,8
209,8
210,8
211,8
212,7
213,7
214,7
215,6
216,7
217,7
218,8
219,9
220,9
221,11
222,11
223,11
224,11
225,9
226,9
227,9
228,9
229,8
230,8
231,8
232,8
233,8
234,8
235,8
236,8
237,8
238,8
239,8
240,8
241,8
242,8
243,8
244,8
245,9
246,11
247,9
248,9
249,10
250,10
251,10
252,10
253,10
254,10
255,10
256,10
257,10
258,10
259,10
260,10
261,10
262,11
263,11
264,11
265,9
266,7
267,11
268,11
269,11
270,11
271,11
272,11
273,11
274,7
275,7
276,8
277,8
278,8
279,8
280,8
281,6
282,6
283,6
284,6
285,8
286,8
287,8
288,7
289,7
290,7
291,6
292,7
293,7
294,8
295,8
296,8
297,7
298,7
299,8
300,7
301,8
302,8
303,8
304,10
305,10
306,10
307,10
308,11
309,11
310,11
311,11
312,11
313,11
314,9
315,8
316,8
317,8
318,8
319,8
320,8
321,8
322,8
323,8
324,8
325,8
326,8
327,8
328,8
329,8
330,7
331,6
332,6
333,6
334,6
335,6
336,7
337,7
338,7
339,7
340,7
341,7
342,8
343,9
344,9
345,9
346,9
347,9
348,10
349,10
350,10
351,11
352,10
353,10
354,10
355,10
356,10
357,10
358,10
359,9
360,8
361,8
362,8
363,8
364,8
365,8
366,7
367,8
368,8
369,8
370,8
371,8
372,8
373,8
374,8
375,8
376,8
377,8
378,8
379,8
380,6
381,6
382,6
383,6
384,5
385,5
386,6
387,6
388,6
389,6
390,7
391,8
392,9
393,9
394,10
395,11
396,11
397,10
398,10
399,9
400,9
401,9
402,8
403,8
404,8
405,8
406,7
407,8
408,7
409,8
410,9
411,9
412,9
413,10
414,10
415,9
416,9
417,9
418,9
419,9
420,9
421,8
422,8
423,8
424,8
425,8
426,8
427,8
428,8
429,8
430,8
431,8
432,8
433,9
434,10
435,10
436,10
437,10
438,10
439,10
440,10
441,10
442,11
443,11
444,11
445,9
446,10
447,10
448,10
449,9
450,9
451,9
452,9
453,9
454,9
455,8
456,9
457,9
458,8
459,8
460,8
461,8
462,8
463,8
464,8
465,8
466,8
467,7
468,7
469,8
470,8
471,7
472,7
473,7
474,8
475,8
476,7
477,8
478,9
479,9
480,9
481,9
482,9
483,12
484,9
485,9
486,9
487,9
488,9
489,9
490,9
491,9
492,9
493,9
494,9
495,9
496,9
497,9
498,9
499,9
500,9
501,9
502,9
503,8
504,8
505,7
506,7
507,8
508,8
509,8
510,8
511,8
512,9
513,9
514,9
515,9
516,9
517,10
518,10
519,9
520,9
521,9
522,10
523,10
524,9
525,9
526,8
527,8
528,8
529,8
530,8
531,8
532,9
533,8
534,8
535,8
536,8
537,8
538,8
539,8
540,7
541,7
542,7
543,7
544,7
545,7
546,7
547,7
548,7
549,7
550,7
551,7
552,7
553,7
554,7
555,7
556,6
557,7
558,6
559,7
560,7
561,7
562,7
563,7
564,7
565,7
566,6
567,7
568,6
569,7
570,7
571,6
572,6
573,6
574,7
575,7
576,7
577,7
578,7
579,7
580,8
581,8
582,8
583,8
584,8
585,7
586,7
587,6
588,6
589,6
590,6
591,6
592,6
593,6
594,6
595,6
596,6
597,5
598,6
599,6
600,6
601,6
602,7
603,7
604,7
605,7
606,7
607,8
608,8
609,9
610,9
611,9
612,9
613,8
614,8
615,8
616,8
617,8
618,8
619,7
620,7
621,7
622,7
623,6
624,7
625,7
626,7
627,7
628,7
629,7
630,7
631,7
632,8
633,9
634,10
635,9
636,9
637,9
638,9
639,9
640,9
641,9
642,9
643,8
644,8
645,8
646,8
647,8
648,8
649,8
650,9
651,9
652,9
653,9
654,9
655,8
656,8
657,8
658,8
659,9
660,9
661,8
662,8
663,9
664,9
665,9
666,9
667,9
668,9
669,9
670,9
671,9
672,9
673,9
674,8
675,8
676,8
677,8
678,8
679,9
680,9
681,8
682,8
683,7
684,10
685,10
686,10
687,10
688,10
689,10
690,8
691,8
692,10
693,8
694,8
695,8
696,8
697,8
698,8
699,8
700,8
701,8
702,8
703,8
704,6
705,9
706,9
707,8
708,9
709,9
710,8
711,8
712,8
713,8
714,8
715,8
716,8
717,9
718,9
719,9
720,9
721,9
722,10
723,10
724,10
725,10
726,10
727,10
728,11
729,11
730,11
731,11
732,11
733,11
734,10
735,10
736,10
737,10
738,10
739,9
740,9
741,10
742,10
743,10
744,10
745,10
746,11
747,9
748,9
749,8
750,9
751,9
752,8
753,8
754,9
755,10
756,10
757,10
758,10
759,10
760,10
761,8
762,7
763,8
764,8
765,8
766,7
767,7
768,7
769,7
770,8
771,8
772,8
773,8
774,8
775,8
776,8
777,8
778,8
779,8
780,8
781,8
782,8
783,8
784,8
785,8
786,8
787,10
788,13
789,10
790,10
791,10
792,10
793,13
794,13
795,10
796,10
797,10
798,9
799,9
800,10
801,10
802,9
803,10
804,10
805,10
806,11
807,11
808,11
809,11
810,11
811,11
812,9
813,11
814,11
815,11
816,11
817,11
818,11
819,11
820,11
821,11
822,11
823,11
824,10
825,10
826,10
827,10
828,10
829,10
830,10
831,10
832,8
833,8
834,8
835,8
836,8
837,8
838,8
839,7
840,7
841,7
842,7
843,7
844,8
845,8
846,8
847,8
848,8
849,8
850,9
851,9
852,9
853,10
854,11
855,11
856,11
857,11
858,11
859,11
860,11
861,11
862,11
863,10
864,10
865,10
866,10
867,10
868,9
869,9
870,9
871,9
872,9
873,9
874,8
875,8
876,9
877,9
878,9
879,9
880,9
881,10
882,9
883,9
884,10
885,10
886,9
887,9
888,9
889,9
890,9
891,9
892,9
893,9
894,9
895,9
896,8
897,8
898,8
899,9
900,9
901,11
902,11
903,10
904,11
905,10
906,12
907,12
908,12
909,12
910,12
911,12
912,11
913,11
914,12
915,12
916,12
917,11
918,10
919,9
920,9
921,10
922,9
923,8
924,8
925,8
926,8
927,8
928,8
929,8
930,8
931,8
932,7
933,7
934,8
935,8
936,8
937,8
938,8
939,8
940,8
941,8
942,8
943,10
944,10
945,10
946,10
947,10
948,10
949,9
950,8
951,9
952,8
953,8
954,7
955,7
956,7
957,7
958,7
959,7
960,7
961,7
962,7
963,7
964,7
965,7
966,7
967,8
968,8
969,8
970,8
971,9
972,9
973,9
974,9
975,9
976,8
977,8
978,8
979,9
980,9
981,8
982,8
983,9
984,9
985,9
986,9
987,9
988,10
989,10
990,9
991,10
992,10
993,10
994,11
995,11
996,10
997,11
998,11
999,11
1000,10
1001,10
1002,9
1003,9
1004,8
1005,8
1006,8
1007,8
1008,8
1009,8
1010,8
1011,8
1012,8
1013,8
1014,8
1015,8
1016,8
1017,8
1018,8
1019,8
1020,9
1021,9
1022,9
1023,9
1024,9
1025,9
1026,8
1027,8
1028,8
1029,8
1030,8
1031,8
1032,8
1033,8
1034,8
1035,8
1036,8
1037,9
1038,8
1039,8
1040,9
1041,9
1042,9
1043,9
1044,9
1045,9
1046,9
1047,7
1048,7
1049,7
1050,7
1051,7
1052,7
1053,7
1054,7
1055,7
1056,7
1057,7
1058,8
1059,8
1060,8
1061,8
1062,8
1063,8
1064,6
1065,6
1066,6
1067,6
1068,6
1069,6
1070,6
1071,6
1072,6
1073,9
1074,9
1075,9
1076,9
1077,9
1078,9
1079,8
1080,8
1081,8
1082,8
1083,9
1084,8
1085,9
1086,8
1087,8
1088,8
1089,9
1090,9
1091,9
1092,9
1093,7
1094,7
1095,7
1096,7
1097,7
1098,8
1099,8
1100,6
1101,6
1102,6
1103,6
1104,6
1105,6
1106,8
1107,8
1108,9
1109,9
1110,9
1111,9
1112,9
1113,9
1114,11
1115,9
1116,9
1117,9
1118,9
1119,9
1120,9
1121,9
1122,9
1123,9
1124,9
1125,9
1126,9
1127,9
1128,9
1129,9
1130,10
1131,10
1132,9
1133,10
1134,9
1135,9
1136,9
1137,9
1138,9
1139,10
1140,10
1141,10
1142,12
1143,12
1144,10
1145,12
1146,12
1147,12
1148,12
1149,12
1150,12
1151,12
1152,12
1153,11
1154,11
1155,11
1156,11
1157,9
1158,9
1159,9
1160,9
1161,9
1162,9
1163,9
1164,9
1165,9
1166,9
1167,9
1168,9
1169,9
1170,9
1171,9
1172,9
1173,9
1174,9
1175,10
1176,10
1177,10
1178,10
1179,10
1180,10
1181,11
1182,11
1183,11
1184,10
1185,9
1186,9
1187,9
1188,9
1189,9
1190,9
1191,9
1192,9
1193,9
1194,9
1195,9
1196,9
1197,9
1198,9
1199,8
1200,8
1201,8
1202,7
1203,7
1204,7
1205,7
1206,7
1207,7
1208,7
1209,7
1210,7
1211,7
1212,7
1213,10
1214,11
1215,11
1216,9
1217,11
1218,11
1219,10
1220,10
1221,9
1222,9
1223,8
1224,7
1225,7
1226,7
1227,7
1228,7
1229,6
1230,6
1231,6
1232,6
1233,7
1234,7
1235,7
1236,7
1237,10
1238,10
1239,7
1240,7
1241,7
1242,7
1243,7
1244,7
1245,7
1246,9
1247,9
1248,7
1249,7
1250,7
1251,7
1252,7
1253,7
1254,7
1255,7
1256,7
1257,7
1258,7
1259,7
1260,7
1261,7
1262,7
1263,8
1264,8
1265,8
1266,8
1267,8
1268,7
1269,8
1270,8
1271,8
1272,8
1273,8
1274,8
1275,8
1276,9
1277,9
1278,8
1279,8
1280,9
1281,9
1282,9
1283,9
1284,8
1285,8
1286,8
1287,8
1288,7
1289,7
1290,7
1291,7
1292,7
1293,7
1294,7
1295,7
1296,7
1297,7
1298,7
1299,7
1300,7
1301,7
1302,7
1303,7
1304,7
1305,8
1306,8
1307,8
1308,8
1309,8
1310,8
1311,8
1312,8
1313,8
1314,8
1315,8
1316,9
1317,9
1318,9
1319,8
1320,8
1321,8
1322,8
1323,8
1324,8
1325,8
1326,8
1327,7
1328,7
1329,7
1330,7
1331,7
1332,7
1333,7
1334,7
1335,7
1336,7
1337,7
1338,7
1339,6
1340,6
1341,6
1342,6
1343,6
1344,6
1345,6
1346,6
1347,6
1348,6
1349,6
1350,7
1351,7
1352,7
1353,8
1354,8
1355,7
1356,7
1357,6
1358,6
1359,7
1360,6
1361,6
1362,6
1363,5
1364,5
1365,5
1366,5
1367,5
1368,5
1369,6
1370,5
1371,6
1372,6
1373,6
1374,6
1375,6
1376,7
1377,6
1378,6
1379,6
1380,6
1381,6
1382,6
1383,5
1384,5
1385,5
1386,5
1387,5
1388,5
1389,5
1390,6
1391,5
1392,5
1393,5
1394,5
1395,5
1396,9
1397,9
1398,9
1399,9
1400,7
1401,6
1402,6
1403,7
1404,6
1405,7
1406,7
1407,7
1408,7
1409,6
1410,7
1411,7
1412,7
1413,7
1414,7
1415,7
1416,7
1417,7
1418,6
1419,7
1420,8
1421,8
1422,9
1423,9
1424,9
1425,8
1426,8
1427,8
1428,8
1429,8
1430,8
1431,8
1432,7
1433,7
1434,8
1435,8
1436,7
1437,5
1438,7
1439,8
1440,8
1441,10
1442,10
1443,10
1444,10
1445,9
1446,8
1447,8
1448,8
