Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
Unnamed: 0,10,4,Success
Date,N/A,N/A,No numeric data in column.
HomeTeam,N/A,N/A,No numeric data in column.
AwayTeam,N/A,N/A,No numeric data in column.
FTHG,10,2,Success
FTAG,7,2,Success
HTGS,6,7,Success
ATGS,10,6,Success
HTGC,10,6,Success
ATGC,5,6,Success
HTP,7,5,Success
ATP,4,5,Success
MW,9,7,Success
HTFormPts,10,4,Success
ATFormPts,6,5,Success
HTWinStreak3,10,2,Success
HTWinStreak5,1,2,Success
HTLossStreak3,10,2,Success
HTLossStreak5,1,2,Success
ATWinStreak3,7,2,Success
ATWinStreak5,1,2,Success
ATLossStreak3,7,2,Success
ATLossStreak5,1,2,Success
HTGD,8,5,Success
ATGD,1,6,Success
DiffPts,10,5,Success
DiffFormPts,2,5,Success
win,N/A,N/A,No numeric data in column.
