Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
Unnamed: 0,8,5,Success
Date,N/A,N/A,No numeric data in column.
HomeTeam,N/A,N/A,No numeric data in column.
AwayTeam,N/A,N/A,No numeric data in column.
FTHG,7,2,Success
FTAG,1,2,Success
HTGS,10,8,Success
ATGS,1,7,Success
HTGC,10,7,Success
ATGC,7,7,Success
HTP,6,5,Success
ATP,3,6,Success
MW,10,10,Success
HTFormPts,4,5,Success
ATFormPts,6,5,Success
HTWinStreak3,1,2,Success
HTWinStreak5,1,2,Success
HTLossStreak3,3,2,Success
HTLossStreak5,2,2,Success
ATWinStreak3,8,2,Success
ATWinStreak5,1,2,Success
ATLossStreak3,1,2,Success
ATLossStreak5,1,2,Success
HTGD,1,4,Success
ATGD,9,5,Success
DiffPts,4,5,Success
DiffFormPts,2,7,Success
win,N/A,N/A,No numeric data in column.
