Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
Unnamed: 0,6,7,Success
Date,N/A,N/A,No numeric data in column.
HomeTeam,N/A,N/A,No numeric data in column.
AwayTeam,N/A,N/A,No numeric data in column.
FTHG,6,2,Success
FTAG,4,2,Success
HTGS,8,7,Success
ATGS,6,8,Success
HTGC,9,7,Success
ATGC,10,9,Success
HTP,5,7,Success
ATP,10,6,Success
MW,10,10,Success
HTFormPts,6,6,Success
ATFormPts,7,5,Success
HTWinStreak3,3,2,Success
HTWinStreak5,1,2,Success
HTLossStreak3,3,2,Success
HTLossStreak5,1,2,Success
ATWinStreak3,2,2,Success
ATWinStreak5,1,2,Success
ATLossStreak3,9,2,Success
ATLossStreak5,2,2,Success
HTGD,9,6,Success
ATGD,3,6,Success
DiffPts,7,5,Success
DiffFormPts,10,8,Success
win,N/A,N/A,No numeric data in column.
