Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
Unnamed: 0,9,5,Success
Date,N/A,N/A,No numeric data in column.
HomeTeam,N/A,N/A,No numeric data in column.
AwayTeam,N/A,N/A,No numeric data in column.
FTHG,6,2,Success
FTAG,3,2,Success
HTGS,10,8,Success
ATGS,10,9,Success
HTGC,8,10,Success
ATGC,9,10,Success
HTP,9,6,Success
ATP,9,5,Success
MW,9,7,Success
HTFormPts,7,5,Success
ATFormPts,9,2,Success
HTWinStreak3,2,2,Success
HTWinStreak5,1,2,Success
HTLossStreak3,1,2,Success
HTLossStreak5,2,2,Success
ATWinStreak3,7,2,Success
ATWinStreak5,7,2,Success
ATLossStreak3,6,2,Success
ATLossStreak5,1,2,Success
HTGD,7,6,Success
ATGD,8,6,Success
DiffPts,2,7,Success
DiffFormPts,6,8,Success
win,N/A,N/A,No numeric data in column.
