Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
Unnamed: 0,6,7,Success
Date,N/A,N/A,No numeric data in column.
HomeTeam,N/A,N/A,No numeric data in column.
AwayTeam,N/A,N/A,No numeric data in column.
FTHG,6,2,Success
FTAG,9,2,Success
HTGS,2,7,Success
ATGS,4,9,Success
HTGC,8,6,Success
ATGC,4,2,Success
HTP,7,5,Success
ATP,8,5,Success
MW,5,10,Success
HTFormPts,8,2,Success
ATFormPts,9,2,Success
HTWinStreak3,2,2,Success
HTWinStreak5,1,2,Success
HTLossStreak3,1,2,Success
HTLossStreak5,1,2,Success
ATWinStreak3,1,2,Success
ATWinStreak5,1,2,Success
ATLossStreak3,5,2,Success
ATLossStreak5,1,2,Success
HTGD,1,5,Success
ATGD,6,5,Success
DiffPts,4,5,Success
DiffFormPts,8,5,Success
win,N/A,N/A,No numeric data in column.
