Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
Unnamed: 0,1,2,Success
Date,N/A,N/A,No numeric data in column.
HomeTeam,N/A,N/A,No numeric data in column.
AwayTeam,N/A,N/A,No numeric data in column.
FTHG,4,2,Success
FTAG,8,2,Success
HTGS,1,6,Success
ATGS,9,5,Success
HTGC,10,5,Success
ATGC,9,6,Success
HTP,10,5,Success
ATP,2,4,Success
MW,8,10,Success
HTFormPts,5,3,Success
ATFormPts,9,3,Success
HTWinStreak3,9,2,Success
HTWinStreak5,1,2,Success
HTLossStreak3,8,2,Success
HTLossStreak5,1,2,Success
ATWinStreak3,5,2,Success
ATWinStreak5,1,2,Success
ATLossStreak3,1,2,Success
ATLossStreak5,1,2,Success
HTGD,10,5,Success
ATGD,8,4,Success
DiffPts,2,4,Success
DiffFormPts,4,6,Success
win,N/A,N/A,No numeric data in column.
