Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
Unnamed: 0,7,6,Success
Date,N/A,N/A,No numeric data in column.
HomeTeam,N/A,N/A,No numeric data in column.
AwayTeam,N/A,N/A,No numeric data in column.
FTHG,5,2,Success
FTAG,4,2,Success
HTGS,10,8,Success
ATGS,8,6,Success
HTGC,10,5,Success
ATGC,5,6,Success
HTP,5,6,Success
ATP,3,5,Success
MW,10,10,Success
HTFormPts,3,4,Success
ATFormPts,9,4,Success
HTWinStreak3,8,2,Success
HTWinStreak5,1,2,Success
HTLossStreak3,9,2,Success
HTLossStreak5,9,2,Success
ATWinStreak3,3,2,Success
ATWinStreak5,1,2,Success
ATLossStreak3,6,2,Success
ATLossStreak5,1,2,Success
HTGD,1,7,Success
ATGD,10,6,Success
DiffPts,3,4,Success
DiffFormPts,4,5,Success
win,N/A,N/A,No numeric data in column.
