Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
Unnamed: 0,3,7,Success
Date,N/A,N/A,No numeric data in column.
HomeTeam,N/A,N/A,No numeric data in column.
AwayTeam,N/A,N/A,No numeric data in column.
FTHG,8,2,Success
FTAG,4,2,Success
HTGS,10,9,Success
ATGS,9,8,Success
HTGC,9,7,Success
ATGC,7,8,Success
HTP,6,6,Success
ATP,10,5,Success
MW,10,10,Success
HTFormPts,6,5,Success
ATFormPts,10,5,Success
HTWinStreak3,5,2,Success
HTWinStreak5,10,2,Success
HTLossStreak3,5,2,Success
HTLossStreak5,1,2,Success
ATWinStreak3,10,2,Success
ATWinStreak5,10,2,Success
ATLossStreak3,3,2,Success
ATLossStreak5,1,2,Success
HTGD,7,6,Success
ATGD,8,7,Success
DiffPts,8,6,Success
DiffFormPts,6,6,Success
win,N/A,N/A,No numeric data in column.
