Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
Unnamed: 0,5,9,Success
Date,N/A,N/A,No numeric data in column.
HomeTeam,N/A,N/A,No numeric data in column.
AwayTeam,N/A,N/A,No numeric data in column.
FTHG,9,2,Success
FTAG,6,2,Success
HTGS,8,9,Success
ATGS,7,6,Success
HTGC,7,7,Success
ATGC,7,7,Success
HTP,4,6,Success
ATP,7,6,Success
MW,10,10,Success
HTFormPts,9,5,Success
ATFormPts,6,4,Success
HTWinStreak3,9,2,Success
HTWinStreak5,2,2,Success
HTLossStreak3,7,2,Success
HTLossStreak5,4,2,Success
ATWinStreak3,7,2,Success
ATWinStreak5,1,2,Success
ATLossStreak3,4,2,Success
ATLossStreak5,1,2,Success
HTGD,1,5,Success
ATGD,2,5,Success
DiffPts,7,5,Success
DiffFormPts,9,6,Success
win,N/A,N/A,No numeric data in column.
