Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
Unnamed: 0,5,8,Success
Date,N/A,N/A,No numeric data in column.
HomeTeam,N/A,N/A,No numeric data in column.
AwayTeam,N/A,N/A,No numeric data in column.
FTHG,6,2,Success
FTAG,5,2,Success
HTGS,9,6,Success
ATGS,10,5,Success
HTGC,7,6,Success
ATGC,10,5,Success
HTP,5,5,Success
ATP,5,5,Success
MW,8,8,Success
HTFormPts,4,3,Success
ATFormPts,3,4,Success
HTWinStreak3,1,2,Success
HTWinStreak5,1,2,Success
HTLossStreak3,4,2,Success
HTLossStreak5,1,2,Success
ATWinStreak3,1,2,Success
ATWinStreak5,1,2,Success
ATLossStreak3,1,2,Success
ATLossStreak5,1,2,Success
HTGD,7,5,Success
ATGD,1,6,Success
DiffPts,5,5,Success
DiffFormPts,2,3,Success
win,N/A,N/A,No numeric data in column.
