Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
Unnamed: 0,5,8,Success
Date,N/A,N/A,No numeric data in column.
HomeTeam,N/A,N/A,No numeric data in column.
AwayTeam,N/A,N/A,No numeric data in column.
FTHG,7,2,Success
FTAG,9,2,Success
HTGS,8,6,Success
ATGS,10,7,Success
HTGC,9,5,Success
ATGC,7,6,Success
HTP,9,4,Success
ATP,6,6,Success
MW,10,10,Success
HTFormPts,9,4,Success
ATFormPts,9,4,Success
HTWinStreak3,7,2,Success
HTWinStreak5,7,2,Success
HTLossStreak3,1,2,Success
HTLossStreak5,1,2,Success
ATWinStreak3,5,2,Success
ATWinStreak5,1,2,Success
ATLossStreak3,10,2,Success
ATLossStreak5,1,2,Success
HTGD,2,6,Success
ATGD,8,5,Success
DiffPts,9,4,Success
DiffFormPts,8,5,Success
win,N/A,N/A,No numeric data in column.
