Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
Unnamed: 0,5,4,Success
Date,N/A,N/A,No numeric data in column.
HomeTeam,N/A,N/A,No numeric data in column.
AwayTeam,N/A,N/A,No numeric data in column.
FTHG,10,2,Success
FTAG,5,2,Success
HTGS,4,6,Success
ATGS,8,6,Success
HTGC,9,5,Success
ATGC,7,4,Success
HTP,8,5,Success
ATP,2,6,Success
MW,10,7,Success
HTFormPts,8,3,Success
ATFormPts,3,2,Success
HTWinStreak3,1,2,Success
HTWinStreak5,1,2,Success
HTLossStreak3,5,2,Success
HTLossStreak5,1,2,Success
ATWinStreak3,1,2,Success
ATWinStreak5,1,2,Success
ATLossStreak3,1,2,Success
ATLossStreak5,8,2,Success
HTGD,1,4,Success
ATGD,1,5,Success
DiffPts,1,5,Success
DiffFormPts,1,4,Success
win,N/A,N/A,No numeric data in column.
