Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
Unnamed: 0,9,5,Success
Date,N/A,N/A,No numeric data in column.
HomeTeam,N/A,N/A,No numeric data in column.
AwayTeam,N/A,N/A,No numeric data in column.
FTHG,1,2,Success
FTAG,2,2,Success
HTGS,9,8,Success
ATGS,5,7,Success
HTGC,10,5,Success
ATGC,9,7,Success
HTP,5,6,Success
ATP,7,5,Success
MW,8,8,Success
HTFormPts,6,4,Success
ATFormPts,5,5,Success
HTWinStreak3,5,2,Success
HTWinStreak5,1,2,Success
HTLossStreak3,2,2,Success
HTLossStreak5,1,2,Success
ATWinStreak3,2,2,Success
ATWinStreak5,1,2,Success
ATLossStreak3,3,2,Success
ATLossStreak5,1,2,Success
HTGD,7,7,Success
ATGD,5,6,Success
DiffPts,5,6,Success
DiffFormPts,9,6,Success
win,N/A,N/A,No numeric data in column.
