Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
Unnamed: 0,3,2,Success
Date,N/A,N/A,No numeric data in column.
HomeTeam,N/A,N/A,No numeric data in column.
AwayTeam,N/A,N/A,No numeric data in column.
FTHG,5,2,Success
FTAG,1,2,Success
HTGS,9,7,Success
ATGS,9,6,Success
HTGC,10,5,Success
ATGC,6,7,Success
HTP,1,5,Success
ATP,7,5,Success
MW,9,10,Success
HTFormPts,8,2,Success
ATFormPts,4,4,Success
HTWinStreak3,1,2,Success
HTWinStreak5,1,2,Success
HTLossStreak3,1,2,Success
HTLossStreak5,9,2,Success
ATWinStreak3,10,2,Success
ATWinStreak5,1,2,Success
ATLossStreak3,10,2,Success
ATLossStreak5,1,2,Success
HTGD,1,5,Success
ATGD,5,5,Success
DiffPts,6,5,Success
DiffFormPts,5,6,Success
win,N/A,N/A,No numeric data in column.
