Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
Unnamed: 0,7,6,Success
Date,N/A,N/A,No numeric data in column.
HomeTeam,N/A,N/A,No numeric data in column.
AwayTeam,N/A,N/A,No numeric data in column.
FTHG,1,2,Success
FTAG,10,2,Success
HTGS,10,9,Success
ATGS,7,6,Success
HTGC,10,8,Success
ATGC,8,8,Success
HTP,6,6,Success
ATP,8,6,Success
MW,9,10,Success
HTFormPts,4,5,Success
ATFormPts,5,4,Success
HTWinStreak3,5,2,Success
HTWinStreak5,10,2,Success
HTLossStreak3,3,2,Success
HTLossStreak5,1,2,Success
ATWinStreak3,5,2,Success
ATWinStreak5,9,2,Success
ATLossStreak3,1,2,Success
ATLossStreak5,1,2,Success
HTGD,9,6,Success
ATGD,3,6,Success
DiffPts,5,6,Success
DiffFormPts,8,7,Success
win,N/A,N/A,No numeric data in column.
