Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
FTGoalsFor,6,2,Success
FTGoalsAgainst,2,2,Success
TeamGS,10,10,Success
TeamGC,10,10,Success
TeamPoints,8,6,Success
MatchWeek,10,10,Success
TeamFormPts,5,3,Success
WinStreak3,2,2,Success
WinStreak5,1,2,Success
LossStreak3,5,2,Success
LossStreak5,7,2,Success
TeamGD,9,10,Success
TeamDiffPts,3,5,Success
TeamDiffFormPts,7,8,Success
Opponent,N/A,N/A,No numeric data in column.
IsHome,Error,Error,"An error occurred during embedding: numpy boolean subtract, the `-` operator, is not supported, use the bitwise_xor, the `^` operator, or the logical_xor function instead."
