Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
FTGoalsFor,9,2,Success
FTGoalsAgainst,7,2,Success
TeamGS,10,9,Success
TeamGC,9,8,Success
TeamPoints,8,9,Success
MatchWeek,10,10,Success
TeamFormPts,4,4,Success
WinStreak3,7,2,Success
WinStreak5,1,2,Success
LossStreak3,9,2,Success
LossStreak5,2,2,Success
TeamGD,10,4,Success
TeamDiffPts,2,6,Success
TeamDiffFormPts,4,6,Success
Opponent,N/A,N/A,No numeric data in column.
IsHome,Error,Error,"An error occurred during embedding: numpy boolean subtract, the `-` operator, is not supported, use the bitwise_xor, the `^` operator, or the logical_xor function instead."
