Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
FTGoalsFor,6,2,Success
FTGoalsAgainst,10,2,Success
TeamGS,10,10,Success
TeamGC,10,8,Success
TeamPoints,9,10,Success
MatchWeek,10,10,Success
TeamFormPts,5,5,Success
WinStreak3,6,2,Success
WinStreak5,4,2,Success
LossStreak3,9,2,Success
LossStreak5,2,2,Success
TeamGD,10,4,Success
TeamDiffPts,2,5,Success
TeamDiffFormPts,10,7,Success
Opponent,N/A,N/A,No numeric data in column.
IsHome,Error,Error,"An error occurred during embedding: numpy boolean subtract, the `-` operator, is not supported, use the bitwise_xor, the `^` operator, or the logical_xor function instead."
