Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
FTGoalsFor,5,2,Success
FTGoalsAgainst,9,2,Success
TeamGS,9,8,Success
TeamGC,9,9,Success
TeamPoints,4,6,Success
MatchWeek,8,10,Success
TeamFormPts,6,5,Success
WinStreak3,5,2,Success
WinStreak5,3,2,Success
LossStreak3,9,2,Success
LossStreak5,1,2,Success
TeamGD,4,6,Success
TeamDiffPts,5,6,Success
TeamDiffFormPts,5,6,Success
Opponent,N/A,N/A,No numeric data in column.
IsHome,Error,Error,"An error occurred during embedding: numpy boolean subtract, the `-` operator, is not supported, use the bitwise_xor, the `^` operator, or the logical_xor function instead."
