Column_Name,Optimal_Time_Delay,Optimal_Embedding_Dimension,Status
FTGoalsFor,10,2,Success
FTGoalsAgainst,7,2,Success
TeamGS,9,6,Success
TeamGC,9,6,Success
TeamPoints,8,5,Success
MatchWeek,10,7,Success
TeamFormPts,4,2,Success
WinStreak3,1,2,Success
WinStreak5,1,2,Success
LossStreak3,2,2,Success
LossStreak5,8,2,Success
TeamGD,9,5,Success
TeamDiffPts,1,4,Success
TeamDiffFormPts,1,6,Success
Opponent,N/A,N/A,No numeric data in column.
IsHome,Error,Error,"An error occurred during embedding: numpy boolean subtract, the `-` operator, is not supported, use the bitwise_xor, the `^` operator, or the logical_xor function instead."
