Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
7,19/08/00,Sunderland,Arsenal,1,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10,21/08/00,Arsenal,Liverpool,2,0,0,1,1,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-0.5,0.5,-1.5,-1.5
19,26/08/00,Arsenal,Charlton,5,3,0,4,1,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-0.5,2.0,-1.5,-1.5
34,06/09/00,Chelsea,Arsenal,2,2,5,7,5,4,1.0,1.5,4.0,4,6,0,0,0,0,0,0,0,0,0.0,0.75,-0.5,-0.5
39,09/09/00,Bradford,Arsenal,1,1,2,7,1,4,1.0,1.5,4.0,4,6,0,0,0,0,0,0,0,0,0.25,0.75,-0.5,-0.5
49,16/09/00,Arsenal,Coventry,2,1,9,5,6,7,1.4,1.2,5.0,7,6,0,0,0,0,0,0,0,0,0.6,-0.4,0.2,0.2
62,23/09/00,Ipswich,Arsenal,1,1,7,12,9,8,1.0,1.5714285714285714,7.0,7,11,0,0,0,0,0,0,0,0,-0.2857142857142857,0.5714285714285714,-0.5714285714285714,-0.5714285714285714
76,01/10/00,Arsenal,Man United,1,0,13,20,9,7,1.5,1.875,8.0,9,11,0,0,0,0,0,0,0,0,0.5,1.625,-0.375,-0.25
79,14/10/00,Arsenal,Aston Villa,1,0,13,11,9,7,1.5,1.5,8.0,9,10,0,0,0,0,0,0,0,0,0.5,0.5,0.0,-0.125
96,21/10/00,West Ham,Arsenal,1,2,11,15,12,9,0.8,1.8,10.0,6,11,0,0,0,0,0,0,0,0,-0.1,0.6,-1.0,-0.5
99,28/10/00,Arsenal,Man City,5,0,15,12,9,14,1.8,1.1,10.0,11,5,0,0,0,0,0,0,0,0,0.6,-0.2,0.7,0.6
113,04/11/00,Middlesbrough,Arsenal,0,1,16,22,18,10,0.8333333333333334,2.0,12.0,4,13,0,0,0,0,0,0,0,0,-0.1666666666666666,1.0,-1.1666666666666667,-0.75
119,11/11/00,Arsenal,Derby,0,0,22,16,10,28,2.0,0.4166666666666667,12.0,13,1,0,0,0,0,0,0,0,0,1.0,-1.0,1.5833333333333333,1.0
131,18/11/00,Everton,Arsenal,2,0,15,23,20,10,1.0714285714285714,2.0,14.0,7,13,0,0,0,0,1,0,0,0,-0.3571428571428571,0.9285714285714286,-0.9285714285714286,-0.4285714285714285
147,26/11/00,Leeds,Arsenal,1,0,21,23,19,12,1.4666666666666666,1.8666666666666667,15.0,8,10,0,0,0,0,1,0,0,0,0.1333333333333333,0.7333333333333333,-0.4,-0.1333333333333333
149,02/12/00,Arsenal,Southampton,1,0,23,19,12,24,1.8666666666666667,1.1333333333333333,15.0,10,7,1,0,0,0,0,0,0,0,0.7333333333333333,-0.3333333333333333,0.7333333333333333,0.2
159,09/12/00,Arsenal,Newcastle,5,0,23,17,13,15,1.75,1.4375,16.0,7,7,0,0,0,0,0,0,0,0,0.625,0.125,0.3125,0.0
178,18/12/00,Tottenham,Arsenal,1,1,25,29,26,13,1.3333333333333333,1.8888888888888888,18.0,7,7,0,0,0,0,0,0,0,0,-0.0555555555555555,0.8888888888888888,-0.5555555555555556,0.0
185,23/12/00,Liverpool,Arsenal,4,0,33,30,24,14,1.5789473684210529,1.8421052631578947,19.0,6,7,0,0,0,0,0,0,0,0,0.4736842105263157,0.8421052631578947,-0.2631578947368421,-0.0526315789473684
189,26/12/00,Arsenal,Leicester,6,1,30,20,14,14,1.8421052631578947,1.6842105263157894,19.0,7,9,0,0,0,0,0,0,0,0,0.8421052631578947,0.3157894736842105,0.1578947368421052,-0.1052631578947368
199,30/12/00,Arsenal,Sunderland,2,2,30,19,18,18,1.75,1.6,20.0,7,12,0,0,0,0,1,0,0,0,0.6,0.05,0.15,-0.25
205,01/01/01,Charlton,Arsenal,1,0,26,36,35,19,1.1904761904761905,1.809523809523809,21.0,4,10,0,0,0,0,0,0,0,0,-0.4285714285714285,0.8095238095238095,-0.6190476190476191,-0.2857142857142857
215,13/01/01,Arsenal,Chelsea,1,1,38,38,21,27,1.7727272727272727,1.3636363636363635,22.0,8,10,0,0,0,0,0,0,0,0,0.7727272727272727,0.5,0.4090909090909091,-0.0909090909090909
