Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
5,19/08/00,Leicester,Aston Villa,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
28,27/08/00,Aston Villa,Chelsea,1,1,1,4,1,4,0.6666666666666666,1.0,3.0,2,3,0,0,0,0,0,0,0,0,0.0,0.0,-0.3333333333333333,-0.3333333333333333
38,06/09/00,Liverpool,Aston Villa,3,1,4,2,5,4,1.0,0.5,4.0,4,2,0,0,0,0,0,0,0,0,-0.25,-0.5,0.5,0.5
41,09/09/00,Ipswich,Aston Villa,1,2,4,4,6,5,0.8,1.0,5.0,4,5,0,0,0,0,0,0,0,0,-0.4,-0.2,-0.2,-0.2
50,16/09/00,Aston Villa,Bradford,2,0,6,3,5,8,1.3333333333333333,0.8333333333333334,6.0,8,5,0,0,0,0,0,0,0,0,0.1666666666666666,-0.8333333333333334,0.5,0.5
65,23/09/00,Middlesbrough,Aston Villa,1,1,10,7,10,6,0.8571428571428571,1.2857142857142858,7.0,3,8,0,0,0,0,0,0,0,0,0.0,0.1428571428571428,-0.4285714285714285,-0.7142857142857143
69,30/09/00,Aston Villa,Derby,4,1,7,12,6,14,1.2857142857142858,0.5714285714285714,7.0,8,3,0,0,0,0,0,0,0,0,0.1428571428571428,-0.2857142857142857,0.7142857142857143,0.7142857142857143
79,14/10/00,Arsenal,Aston Villa,1,0,13,11,9,7,1.5,1.5,8.0,9,10,0,0,0,0,0,0,0,0,0.5,0.5,0.0,-0.125
97,22/10/00,Aston Villa,Sunderland,0,0,11,8,8,11,1.3,1.2,10.0,8,8,0,0,0,0,0,0,0,0,0.3,-0.3,0.1,0.0
100,28/10/00,Aston Villa,Charlton,2,1,13,16,9,16,1.4545454545454546,1.3636363636363635,11.0,8,10,0,0,0,0,0,0,0,0,0.3636363636363636,0.0,0.0909090909090909,-0.1818181818181818
117,05/11/00,Everton,Aston Villa,0,1,14,14,19,9,1.0,1.5833333333333333,12.0,5,10,0,0,0,0,0,0,0,0,-0.4166666666666667,0.4166666666666667,-0.5833333333333334,-0.4166666666666667
120,11/11/00,Aston Villa,Tottenham,2,0,16,17,9,18,1.6923076923076923,1.3076923076923077,13.0,10,6,0,0,0,0,0,0,0,0,0.5384615384615384,-0.0769230769230769,0.3846153846153846,0.3076923076923077
136,18/11/00,Southampton,Aston Villa,2,0,17,16,24,11,1.0,1.5714285714285714,14.0,5,10,0,0,0,0,0,0,0,0,-0.5,0.3571428571428571,-0.5714285714285714,-0.3571428571428571
140,25/11/00,Coventry,Aston Villa,1,1,13,17,29,12,0.7333333333333333,1.5333333333333334,15.0,0,10,0,0,1,1,1,0,0,0,-1.0666666666666669,0.3333333333333333,-0.8,-0.6666666666666666
150,02/12/00,Aston Villa,Newcastle,1,1,18,17,13,15,1.5,1.4375,16.0,8,7,0,0,0,0,0,0,0,0,0.3125,0.125,0.0625,0.0625
166,09/12/00,West Ham,Aston Villa,1,1,22,19,17,14,1.411764705882353,1.4705882352941178,17.0,13,6,0,0,0,0,0,0,0,0,0.2941176470588235,0.2941176470588235,-0.0588235294117647,0.4117647058823529
169,16/12/00,Aston Villa,Man City,2,2,19,18,14,30,1.4705882352941178,0.8235294117647058,17.0,6,0,0,0,0,0,0,0,1,1,0.2941176470588235,-0.7058823529411765,0.6470588235294118,0.3529411764705882
183,23/12/00,Leeds,Aston Villa,1,2,25,23,25,17,1.3157894736842106,1.5263157894736843,19.0,6,7,0,0,0,0,0,0,0,0,0.0,0.3157894736842105,-0.2105263157894736,-0.0526315789473684
190,26/12/00,Aston Villa,Man United,0,1,23,46,18,14,1.45,2.15,20.0,6,10,0,0,0,0,0,0,0,0,0.25,1.6,-0.7,-0.2
206,01/01/01,Chelsea,Aston Villa,1,0,37,23,27,19,1.2857142857142858,1.380952380952381,21.0,10,5,0,0,0,0,0,0,0,0,0.4761904761904761,0.1904761904761904,-0.0952380952380952,0.238095238095238
216,13/01/01,Aston Villa,Liverpool,0,3,23,39,22,26,1.318181818181818,1.6363636363636365,22.0,4,9,0,0,0,0,0,0,0,0,0.0454545454545454,0.5909090909090909,-0.3181818181818182,-0.2272727272727272
231,20/01/01,Man United,Aston Villa,2,0,54,24,16,26,2.208333333333333,1.2083333333333333,24.0,13,0,0,0,0,0,0,0,1,1,1.5833333333333333,-0.0833333333333333,1.0,0.5416666666666666
235,24/01/01,Aston Villa,Leeds,1,2,24,34,26,32,1.2083333333333333,1.3333333333333333,24.0,0,7,0,0,1,1,0,0,0,0,-0.0833333333333333,0.0833333333333333,-0.125,-0.2916666666666667
245,03/02/01,Bradford,Aston Villa,0,3,16,27,43,26,0.64,1.28,25.0,4,3,0,0,0,0,0,0,1,0,-1.08,0.04,-0.64,0.04
256,10/02/01,Aston Villa,Middlesbrough,1,1,28,29,27,32,1.2692307692307692,0.9615384615384616,26.0,4,7,0,0,1,0,0,0,0,0,0.0384615384615384,-0.1153846153846153,0.3076923076923077,-0.1153846153846153
267,24/02/01,Derby,Aston Villa,1,0,27,28,43,28,1.0,1.2222222222222223,27.0,7,4,0,0,0,0,0,0,0,0,-0.5925925925925926,0.0,-0.2222222222222222,0.1111111111111111
283,05/03/01,Sunderland,Aston Villa,1,1,32,31,27,30,1.5172413793103448,1.2758620689655171,29.0,2,8,0,0,0,0,0,0,0,0,0.1724137931034483,0.0344827586206896,0.2413793103448276,-0.2068965517241379
285,10/03/01,Aston Villa,Ipswich,2,1,31,42,30,34,1.2758620689655171,1.5862068965517242,29.0,8,6,0,0,0,0,0,0,1,0,0.0344827586206896,0.2758620689655172,-0.3103448275862069,0.0689655172413793
294,18/03/01,Aston Villa,Arsenal,0,0,31,47,30,29,1.2666666666666666,1.7666666666666666,30.0,6,12,0,0,0,0,1,0,0,0,0.0333333333333333,0.6,-0.5,-0.2
301,31/03/01,Man City,Aston Villa,1,3,33,34,49,31,0.8709677419354839,1.3225806451612905,31.0,5,8,0,0,0,0,0,0,0,0,-0.5161290322580645,0.0967741935483871,-0.4516129032258064,-0.0967741935483871
306,04/04/01,Aston Villa,Leicester,2,1,34,31,31,33,1.3225806451612905,1.4516129032258065,31.0,8,6,0,0,0,0,0,0,0,0,0.0967741935483871,-0.064516129032258,-0.1290322580645161,0.064516129032258
307,07/04/01,Aston Villa,West Ham,2,2,34,35,31,38,1.3225806451612905,1.1290322580645162,31.0,8,4,0,0,0,0,0,0,0,0,0.0967741935483871,-0.0967741935483871,0.1935483870967742,0.1290322580645161
320,14/04/01,Aston Villa,Everton,2,1,38,36,34,45,1.3636363636363635,1.1515151515151516,33.0,11,7,0,0,0,0,0,0,0,0,0.1212121212121212,-0.2727272727272727,0.2121212121212121,0.1212121212121212
332,17/04/01,Charlton,Aston Villa,3,3,42,40,46,35,1.3235294117647058,1.411764705882353,34.0,4,11,0,0,0,0,0,0,0,0,-0.1176470588235294,0.1470588235294117,-0.088235294117647,-0.2058823529411764
335,21/04/01,Aston Villa,Southampton,0,0,40,34,35,40,1.411764705882353,1.3235294117647058,34.0,11,4,0,0,0,0,0,0,0,0,0.1470588235294117,-0.1764705882352941,0.088235294117647,0.2058823529411764
352,28/04/01,Tottenham,Aston Villa,0,0,42,43,49,38,1.25,1.3888888888888888,36.0,6,9,0,0,0,0,0,0,0,0,-0.1944444444444444,0.1388888888888889,-0.1388888888888889,-0.0833333333333333
357,05/05/01,Aston Villa,Coventry,3,2,43,34,38,58,1.3888888888888888,0.9166666666666666,36.0,9,9,0,0,0,0,0,0,0,0,0.1388888888888889,-0.6666666666666666,0.4722222222222222,0.0
377,19/05/01,Newcastle,Aston Villa,3,0,41,46,50,40,1.263157894736842,1.4210526315789471,38.0,6,9,0,0,0,0,0,0,0,0,-0.2368421052631578,0.1578947368421052,-0.1578947368421052,-0.0789473684210526
387,18/08/01,Tottenham,Aston Villa,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
403,26/08/01,Aston Villa,Man United,1,1,1,5,1,4,0.6666666666666666,1.3333333333333333,3.0,2,4,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,-0.6666666666666666,-0.6666666666666666
410,08/09/01,Liverpool,Aston Villa,1,3,4,4,6,2,0.75,1.25,4.0,3,5,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5
422,16/09/01,Aston Villa,Sunderland,0,0,4,3,2,3,1.2,1.4,5.0,6,7,0,0,0,0,0,0,0,0,0.4,0.0,-0.2,-0.2
