Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
381,18/08/01,Derby,Blackburn,2,1,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
394,22/08/01,Blackburn,Man United,2,2,1,3,2,2,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-0.5,0.5,-1.5,-1.5
397,25/08/01,Blackburn,Tottenham,2,1,1,0,2,0,0.0,0.5,2.0,0,1,0,0,0,0,0,0,0,0,-0.5,0.0,-0.5,-0.5
413,08/09/01,Sunderland,Blackburn,1,0,2,5,3,5,1.0,1.0,4.0,4,4,0,0,0,0,0,0,0,0,-0.25,0.0,0.0,0.0
424,16/09/01,Ipswich,Blackburn,1,1,4,5,4,6,0.8,0.8,5.0,4,4,0,0,0,0,0,0,0,0,0.0,-0.2,0.0,0.0
427,19/09/01,Blackburn,Bolton,1,1,5,8,6,1,0.8,2.0,5.0,4,10,0,0,0,0,0,0,0,0,-0.2,1.4,-1.2,-1.2
430,22/09/01,Blackburn,Everton,1,0,6,7,7,9,0.8333333333333334,1.1666666666666667,6.0,5,7,0,0,0,0,0,0,0,0,-0.1666666666666666,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333
446,30/09/01,Aston Villa,Blackburn,2,0,9,7,3,8,1.7142857142857142,0.8571428571428571,7.0,11,6,0,0,0,0,0,0,0,0,0.8571428571428571,-0.1428571428571428,0.8571428571428571,0.7142857142857143
458,14/10/01,Blackburn,West Ham,7,1,8,5,8,16,1.125,0.625,8.0,8,4,0,0,0,0,0,0,0,0,0.0,-1.375,0.5,0.5
460,20/10/01,Arsenal,Blackburn,3,3,18,8,5,10,1.8888888888888888,1.0,9.0,11,5,0,0,0,0,0,0,0,0,1.4444444444444444,-0.2222222222222222,0.8888888888888888,0.6666666666666666
482,29/10/01,Blackburn,Leicester,0,0,18,6,14,23,1.181818181818182,0.4545454545454545,11.0,8,1,0,0,0,0,0,0,0,0,0.3636363636363636,-1.5454545454545454,0.7272727272727273,0.6363636363636364
487,03/11/01,Southampton,Blackburn,1,2,9,18,19,14,0.6363636363636364,1.181818181818182,11.0,4,8,0,0,0,0,0,0,0,0,-0.9090909090909092,0.3636363636363636,-0.5454545454545454,-0.3636363636363636
494,17/11/01,Blackburn,Liverpool,1,1,18,21,14,11,1.1666666666666667,1.9166666666666667,12.0,8,11,0,0,0,0,0,0,0,0,0.3333333333333333,0.8333333333333334,-0.75,-0.25
504,24/11/01,Chelsea,Blackburn,0,0,16,20,11,15,1.4615384615384617,1.3076923076923077,13.0,6,8,0,0,0,0,0,0,0,0,0.3846153846153846,0.3846153846153846,0.1538461538461538,-0.1538461538461538
514,01/12/01,Blackburn,Middlesbrough,0,1,21,16,16,20,1.2857142857142858,1.0714285714285714,14.0,9,8,0,0,0,0,0,0,0,0,0.3571428571428571,-0.2857142857142857,0.2142857142857142,0.0714285714285714
532,09/12/01,Blackburn,Leeds,1,2,21,18,17,9,1.1875,1.75,16.0,6,8,0,0,0,0,0,0,0,0,0.25,0.5625,-0.5625,-0.125
540,15/12/01,Newcastle,Blackburn,2,1,27,22,19,19,1.7647058823529411,1.1176470588235294,17.0,10,5,0,0,0,0,0,0,0,0,0.4705882352941176,0.1764705882352941,0.6470588235294118,0.2941176470588235
549,22/12/01,Charlton,Blackburn,0,2,21,22,20,19,1.2352941176470589,1.1176470588235294,17.0,8,5,0,0,0,0,0,0,0,0,0.0588235294117647,0.1764705882352941,0.1176470588235294,0.1764705882352941
560,26/12/01,Blackburn,Sunderland,0,3,25,14,21,17,1.1578947368421053,1.2105263157894737,19.0,4,7,0,0,0,0,0,0,0,0,0.2105263157894736,-0.1578947368421052,-0.0526315789473684,-0.1578947368421052
570,29/12/01,Blackburn,Derby,0,1,25,14,24,35,1.1,0.8,20.0,3,6,0,0,1,0,0,0,0,0,0.05,-1.05,0.3,-0.15
584,01/01/02,Tottenham,Blackburn,1,0,31,25,27,25,1.3333333333333333,1.0476190476190477,21.0,4,3,0,0,0,0,0,0,0,0,0.1904761904761904,0.0,0.2857142857142857,0.0476190476190476
589,12/01/02,Blackburn,Charlton,4,1,25,24,25,22,1.0476190476190477,1.238095238095238,21.0,3,8,0,0,0,0,0,0,0,0,0.0,0.0952380952380952,-0.1904761904761904,-0.238095238095238
601,19/01/02,Man United,Blackburn,2,1,54,29,32,27,1.826086956521739,1.0869565217391304,23.0,15,6,1,1,0,0,0,0,0,0,0.9565217391304348,0.0869565217391304,0.7391304347826086,0.391304347826087
614,30/01/02,Blackburn,Arsenal,2,3,30,46,29,27,1.0416666666666667,1.8333333333333333,24.0,3,11,0,0,1,0,0,0,0,0,0.0416666666666666,0.7916666666666666,-0.7916666666666666,-0.3333333333333333
627,02/02/02,West Ham,Blackburn,2,0,27,32,41,32,1.12,1.0,25.0,4,3,0,0,0,0,0,0,0,0,-0.56,0.0,0.12,0.04
633,09/02/02,Fulham,Blackburn,2,0,25,32,23,34,1.3461538461538465,0.9615384615384616,26.0,8,3,0,0,0,0,0,0,0,0,0.0769230769230769,-0.0769230769230769,0.3846153846153846,0.1923076923076923
650,02/03/02,Bolton,Blackburn,1,1,30,33,42,37,1.0357142857142858,0.9285714285714286,28.0,5,1,0,0,0,0,0,0,1,0,-0.4285714285714285,-0.1428571428571428,0.1071428571428571,0.1428571428571428
660,05/03/02,Blackburn,Aston Villa,3,0,36,34,37,31,1.0,1.4137931034482758,29.0,4,6,0,0,1,0,0,0,0,0,-0.0344827586206896,0.1034482758620689,-0.4137931034482758,-0.0689655172413793
669,13/03/02,Blackburn,Ipswich,2,1,36,35,37,45,1.0,1.0344827586206895,29.0,4,6,0,0,1,0,0,0,0,0,-0.0344827586206896,-0.3448275862068966,-0.0344827586206896,-0.0689655172413793
679,17/03/02,Leeds,Blackburn,3,1,39,38,29,38,1.6,1.0666666666666669,30.0,6,7,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.5333333333333333,-0.0333333333333333
694,30/03/02,Leicester,Blackburn,2,1,21,40,55,43,0.59375,1.0,32.0,2,7,0,0,0,0,0,0,0,0,-1.0625,-0.09375,-0.40625,-0.15625
699,01/04/02,Blackburn,Southampton,2,0,40,38,43,46,1.0,1.15625,32.0,7,7,0,0,0,0,0,0,0,0,-0.09375,-0.25,-0.15625,0.0
717,10/04/02,Blackburn,Chelsea,0,0,42,60,43,32,1.0588235294117647,1.6764705882352942,34.0,7,10,0,0,0,0,0,0,0,0,-0.0294117647058823,0.8235294117647058,-0.6176470588235294,-0.088235294117647
729,20/04/02,Middlesbrough,Blackburn,1,3,34,45,40,44,1.2857142857142858,1.1142857142857143,35.0,10,7,0,0,0,0,0,0,0,0,-0.1714285714285714,0.0285714285714285,0.1714285714285714,0.0857142857142857
734,23/04/02,Blackburn,Newcastle,2,2,47,68,46,46,1.1111111111111112,1.8611111111111112,36.0,8,11,0,0,0,0,0,0,0,0,0.0277777777777777,0.6111111111111112,-0.75,-0.0833333333333333
746,28/04/02,Everton,Blackburn,1,2,41,49,51,47,1.162162162162162,1.162162162162162,37.0,7,11,0,0,0,0,0,0,0,0,-0.2702702702702703,0.054054054054054,0.0,-0.1081081081081081
