Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
4,19/08/00,Leeds,Everton,2,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
14,23/08/00,Everton,Charlton,3,0,0,4,2,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-1.0,2.0,-1.5,-1.5
21,26/08/00,Everton,Derby,2,2,3,4,2,5,1.0,0.3333333333333333,3.0,3,1,0,0,0,0,0,0,0,0,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.6666666666666666
32,05/09/00,Tottenham,Everton,3,2,4,5,4,4,1.0,1.0,4.0,4,4,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.0
45,09/09/00,Middlesbrough,Everton,1,2,8,7,7,7,1.0,0.8,5.0,5,4,0,0,0,0,0,0,0,0,0.2,0.0,0.2,0.2
52,16/09/00,Everton,Man United,1,3,9,14,8,3,1.1666666666666667,1.8333333333333333,6.0,7,11,0,0,0,0,0,0,0,0,0.1666666666666666,1.8333333333333333,-0.6666666666666666,-0.6666666666666666
68,24/09/00,Leicester,Everton,1,1,6,10,1,11,2.0,1.0,7.0,13,7,0,0,0,0,0,0,0,0,0.7142857142857143,-0.1428571428571428,1.0,0.8571428571428571
71,30/09/00,Everton,Ipswich,0,3,11,8,12,10,1.0,1.0,8.0,5,7,0,0,0,0,0,0,0,0,-0.125,-0.25,0.0,-0.25
81,14/10/00,Everton,Southampton,1,1,11,11,15,12,0.8888888888888888,1.0,9.0,4,7,0,0,0,0,0,0,0,0,-0.4444444444444444,-0.1111111111111111,-0.1111111111111111,-0.3333333333333333
94,21/10/00,Newcastle,Everton,0,1,11,12,8,16,1.6,0.9,10.0,7,5,0,0,0,0,0,0,0,0,0.3,-0.4,0.7,0.2
108,29/10/00,Liverpool,Everton,3,1,17,13,13,16,1.6363636363636365,1.0909090909090908,11.0,8,5,0,0,0,0,0,0,0,0,0.3636363636363636,-0.2727272727272727,0.5454545454545454,0.2727272727272727
117,05/11/00,Everton,Aston Villa,0,1,14,14,19,9,1.0,1.5833333333333333,12.0,5,10,0,0,0,0,0,0,0,0,-0.4166666666666667,0.4166666666666667,-0.5833333333333334,-0.4166666666666667
121,11/11/00,Bradford,Everton,0,1,5,14,19,20,0.5384615384615384,0.9230769230769232,13.0,2,4,0,0,0,0,0,0,0,0,-1.0769230769230769,-0.4615384615384615,-0.3846153846153846,-0.1538461538461538
131,18/11/00,Everton,Arsenal,2,0,15,23,20,10,1.0714285714285714,2.0,14.0,7,13,0,0,0,0,1,0,0,0,-0.3571428571428571,0.9285714285714286,-0.9285714285714286,-0.4285714285714285
142,25/11/00,Everton,Chelsea,2,1,17,25,20,20,1.2,1.1333333333333333,15.0,9,7,0,0,0,0,0,0,0,0,-0.2,0.3333333333333333,0.0666666666666666,0.1333333333333333
158,04/12/00,Sunderland,Everton,2,0,15,19,16,21,1.4375,1.3125,16.0,10,9,0,0,0,0,0,0,0,0,-0.0625,-0.125,0.125,0.0625
163,09/12/00,Man City,Everton,5,0,18,19,30,23,0.8235294117647058,1.2352941176470589,17.0,0,9,0,0,1,1,0,0,0,0,-0.7058823529411765,-0.2352941176470588,-0.4117647058823529,-0.5294117647058824
171,16/12/00,Everton,West Ham,1,1,19,23,28,18,1.1666666666666667,1.3888888888888888,18.0,9,13,1,0,0,0,1,0,0,0,-0.5,0.2777777777777778,-0.2222222222222222,-0.2222222222222222
180,23/12/00,Charlton,Everton,1,0,25,20,30,29,1.1578947368421053,1.1578947368421053,19.0,4,7,0,0,0,0,0,0,0,0,-0.2631578947368421,-0.4736842105263157,0.0,-0.1578947368421052
192,26/12/00,Everton,Coventry,1,2,20,17,30,34,1.1,0.8,20.0,4,5,0,0,0,0,0,0,0,0,-0.5,-0.85,0.3,-0.05
208,01/01/01,Derby,Everton,1,0,23,21,35,32,0.9523809523809524,1.0476190476190477,21.0,10,1,0,0,0,0,0,0,0,0,-0.5714285714285714,-0.5238095238095238,-0.0952380952380952,0.4285714285714285
218,13/01/01,Everton,Tottenham,0,0,21,26,33,32,1.0,1.181818181818182,22.0,1,3,0,0,0,0,0,0,0,0,-0.5454545454545454,-0.2727272727272727,-0.1818181818181818,-0.0909090909090909
226,20/01/01,Coventry,Everton,1,3,21,21,37,33,0.9130434782608696,1.0,23.0,6,2,0,0,0,0,0,0,0,0,-0.6956521739130435,-0.5217391304347826,-0.0869565217391304,0.1739130434782608
239,31/01/01,Everton,Middlesbrough,2,2,24,27,34,30,1.0833333333333333,0.9583333333333334,24.0,4,9,0,0,1,0,0,0,0,0,-0.4166666666666667,-0.125,0.125,-0.2083333333333333
251,03/02/01,Man United,Everton,1,0,57,26,16,37,2.269230769230769,1.0384615384615383,26.0,13,5,0,0,0,0,0,0,0,0,1.5769230769230769,-0.4230769230769231,1.2307692307692308,0.3076923076923077
254,07/02/01,Everton,Leeds,2,2,26,37,37,33,1.0384615384615383,1.4615384615384617,26.0,5,12,0,0,0,0,0,0,0,0,-0.4230769230769231,0.1538461538461538,-0.4230769230769231,-0.2692307692307692
258,10/02/01,Everton,Leicester,2,1,26,26,37,27,1.0384615384615383,1.5,26.0,5,4,0,0,0,0,0,0,0,0,-0.4230769230769231,-0.0384615384615384,-0.4615384615384615,0.0384615384615384
268,24/02/01,Ipswich,Everton,2,0,37,28,33,39,1.4814814814814814,1.037037037037037,27.0,3,6,0,0,0,0,0,0,0,0,0.1481481481481481,-0.4074074074074074,0.4444444444444444,-0.1111111111111111
277,03/03/01,Everton,Newcastle,1,1,30,32,40,38,1.1071428571428572,1.3214285714285714,28.0,8,6,0,0,0,0,0,0,0,0,-0.3571428571428571,-0.2142857142857142,-0.2142857142857142,0.0714285714285714
291,17/03/01,Southampton,Everton,1,0,34,31,34,43,1.4666666666666666,1.0666666666666669,30.0,15,5,1,1,0,0,0,0,0,0,0.0,-0.4,0.4,0.3333333333333333
303,31/03/01,West Ham,Everton,0,2,35,31,38,44,1.1290322580645162,1.032258064516129,31.0,4,5,0,0,0,0,0,0,0,0,-0.0967741935483871,-0.4193548387096774,0.0967741935483871,-0.032258064516129
311,08/04/01,Everton,Man City,3,1,33,34,44,52,1.09375,0.84375,32.0,7,4,0,0,0,0,0,0,0,0,-0.34375,-0.5625,0.25,0.09375
