Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
3043,16/08/08,Hull,Fulham,2,1,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3050,23/08/08,Blackburn,Hull,1,1,3,2,2,1,1.5,1.5,2.0,3,3,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.0
3063,30/08/08,Hull,Wigan,0,5,3,1,2,3,1.3333333333333333,0.0,3.0,4,0,0,0,0,0,0,0,0,0,0.3333333333333333,-0.6666666666666666,1.3333333333333333,1.3333333333333333
3073,13/09/08,Newcastle,Hull,1,2,2,3,4,7,1.0,1.0,4.0,4,4,0,0,0,0,0,0,0,0,-0.5,-1.0,0.0,0.0
3085,21/09/08,Hull,Everton,2,2,5,7,8,9,1.4,1.2,5.0,7,6,0,0,0,0,0,0,0,0,-0.6,-0.4,0.2,0.2
3089,27/09/08,Arsenal,Hull,1,2,8,5,1,8,1.8,1.4,5.0,9,7,0,0,0,0,0,0,0,0,1.4,-0.6,0.4,0.4
3107,05/10/08,Tottenham,Hull,0,1,4,9,9,11,0.2857142857142857,1.5714285714285714,7.0,2,8,0,0,0,0,0,0,0,0,-0.7142857142857143,-0.2857142857142857,-1.2857142857142858,-0.8571428571428571
3116,19/10/08,Hull,West Ham,1,0,10,14,11,13,1.75,1.5,8.0,10,9,0,0,0,0,0,0,0,0,-0.125,0.125,0.25,0.125
3122,25/10/08,West Brom,Hull,0,3,7,11,11,11,1.1111111111111112,1.8888888888888888,9.0,9,13,0,0,0,0,0,0,0,0,-0.4444444444444444,0.0,-0.7777777777777778,-0.4444444444444444
3134,29/10/08,Hull,Chelsea,0,3,14,19,11,4,2.0,2.0,10.0,13,10,0,0,0,0,0,0,0,0,0.3,1.5,0.0,0.3
3141,01/11/08,Man United,Hull,4,3,19,14,8,14,1.9090909090909087,1.818181818181818,11.0,13,12,0,0,0,0,1,0,0,0,1.0,0.0,0.0909090909090909,0.0909090909090909
3150,08/11/08,Hull,Bolton,0,1,17,10,18,13,1.6666666666666667,0.9166666666666666,12.0,9,7,1,0,0,0,0,0,0,0,-0.0833333333333333,-0.25,0.75,0.1666666666666666
3168,16/11/08,Hull,Man City,2,2,17,24,19,20,1.5384615384615383,1.0,13.0,6,4,0,0,0,0,0,0,0,0,-0.1538461538461538,0.3076923076923077,0.5384615384615384,0.1538461538461538
3174,22/11/08,Portsmouth,Hull,2,2,13,19,18,21,1.2857142857142858,1.5,14.0,5,4,0,0,0,0,0,0,0,0,-0.3571428571428571,-0.1428571428571428,-0.2142857142857142,0.0714285714285714
3181,29/11/08,Stoke,Hull,1,1,14,21,24,23,1.1333333333333333,1.4666666666666666,15.0,10,2,0,0,0,0,0,0,1,0,-0.6666666666666666,-0.1333333333333333,-0.3333333333333333,0.5333333333333333
3193,06/12/08,Hull,Middlesbrough,2,1,22,15,24,21,1.4375,1.1875,16.0,3,6,0,0,0,0,0,0,0,0,-0.125,-0.375,0.25,-0.1875
3200,13/12/08,Liverpool,Hull,2,2,24,24,9,25,2.176470588235294,1.5294117647058822,17.0,11,6,0,0,0,0,0,0,0,0,0.8823529411764706,-0.0588235294117647,0.6470588235294118,0.2941176470588235
3212,20/12/08,Hull,Sunderland,1,4,26,17,27,25,1.5,1.0,18.0,7,6,0,0,0,0,0,0,0,0,-0.0555555555555555,-0.4444444444444444,0.5,0.0555555555555555
3221,26/12/08,Man City,Hull,5,1,31,27,27,31,0.9473684210526316,1.4210526315789471,19.0,4,6,0,0,0,0,0,0,0,0,0.2105263157894736,-0.2105263157894736,-0.4736842105263157,-0.1052631578947368
3237,30/12/08,Hull,Aston Villa,0,1,28,32,36,22,1.35,1.75,20.0,5,11,0,0,0,0,0,0,0,0,-0.4,0.5,-0.4,-0.3
3240,10/01/09,Everton,Hull,2,0,27,28,25,37,1.5238095238095235,1.2857142857142858,21.0,10,4,0,0,0,0,0,0,0,0,0.0952380952380952,-0.4285714285714285,0.238095238095238,0.2857142857142857
3250,17/01/09,Hull,Arsenal,1,3,28,34,39,23,1.2272727272727273,1.7272727272727273,22.0,1,9,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.3636363636363636
3265,28/01/09,West Ham,Hull,2,0,29,29,31,42,1.2608695652173914,1.173913043478261,23.0,10,0,0,0,0,0,0,0,1,1,-0.0869565217391304,-0.5652173913043478,0.0869565217391304,0.4347826086956521
3271,31/01/09,Hull,West Brom,2,2,29,20,44,42,1.125,0.875,24.0,0,6,0,0,1,1,0,0,0,0,-0.625,-0.9166666666666666,0.25,-0.25
3278,07/02/09,Chelsea,Hull,0,0,44,29,13,44,2.0,1.125,24.0,10,0,0,0,0,0,0,0,1,1,1.2916666666666667,-0.625,0.875,0.4166666666666667
3298,23/02/09,Hull,Tottenham,1,2,31,26,46,31,1.1153846153846154,0.9615384615384616,26.0,2,5,0,0,1,0,0,0,0,0,-0.5769230769230769,-0.1923076923076923,0.1538461538461538,-0.1153846153846153
3305,01/03/09,Hull,Blackburn,1,2,32,30,48,43,1.0740740740740742,0.9629629629629628,27.0,2,5,0,0,0,0,0,0,0,0,-0.5925925925925926,-0.4814814814814814,0.1111111111111111,-0.1111111111111111
3311,04/03/09,Fulham,Hull,0,1,24,33,23,50,1.2142857142857142,1.0357142857142858,28.0,5,2,0,0,0,0,0,0,0,0,0.0357142857142857,-0.6071428571428571,0.1785714285714285,0.1071428571428571
3322,14/03/09,Hull,Newcastle,1,1,34,34,50,45,1.103448275862069,0.9655172413793104,29.0,5,5,0,0,0,0,0,0,0,0,-0.5517241379310345,-0.3793103448275862,0.1379310344827586,0.0
3338,22/03/09,Wigan,Hull,1,0,29,35,28,51,1.2666666666666666,1.1,30.0,5,5,0,0,0,0,0,0,0,0,0.0333333333333333,-0.5333333333333333,0.1666666666666666,0.0
3343,04/04/09,Hull,Portsmouth,0,0,35,32,52,46,1.064516129032258,1.064516129032258,31.0,4,6,0,0,0,0,0,0,0,0,-0.5483870967741935,-0.4516129032258064,0.0,-0.064516129032258
3351,11/04/09,Middlesbrough,Hull,3,1,22,35,46,52,0.84375,1.0625,32.0,4,5,0,0,0,0,0,0,0,0,-0.75,-0.53125,-0.21875,-0.03125
3363,18/04/09,Sunderland,Hull,1,0,30,36,43,55,0.9696969696969696,1.0303030303030305,33.0,1,5,0,0,0,0,0,0,0,0,-0.3939393939393939,-0.5757575757575758,-0.0606060606060606,-0.1212121212121212
3372,25/04/09,Hull,Liverpool,1,3,36,63,56,25,1.0,2.088235294117647,34.0,2,13,0,0,0,0,1,0,0,0,-0.5882352941176471,1.1176470588235294,-1.088235294117647,-0.3235294117647059
3388,04/05/09,Aston Villa,Hull,1,0,50,37,44,59,1.5714285714285714,0.9714285714285714,35.0,3,1,0,0,0,0,0,0,0,0,0.1714285714285714,-0.6285714285714286,0.6,0.0571428571428571
3393,09/05/09,Hull,Stoke,1,2,37,33,60,50,0.9444444444444444,1.0833333333333333,36.0,1,7,0,0,0,0,0,0,0,0,-0.6388888888888888,-0.4722222222222222,-0.1388888888888889,-0.1666666666666666
3400,16/05/09,Bolton,Hull,1,1,40,38,51,62,1.0810810810810811,0.918918918918919,37.0,3,0,0,0,0,0,0,0,1,1,-0.2972972972972973,-0.6486486486486487,0.1621621621621621,0.081081081081081
3414,24/05/09,Hull,Man United,0,1,39,67,63,24,0.9210526315789472,2.289473684210526,38.0,1,13,0,0,1,0,1,0,0,0,-0.631578947368421,1.131578947368421,-1.368421052631579,-0.3157894736842105
3423,15/08/09,Chelsea,Hull,2,1,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3434,19/08/09,Hull,Tottenham,1,5,1,2,2,1,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-0.5,0.5,-1.5,-1.5
3438,22/08/09,Hull,Bolton,1,0,1,0,2,1,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0.0,0.0
3452,29/08/09,Wolves,Hull,1,1,1,3,3,7,0.75,0.75,4.0,3,3,0,0,0,0,0,0,0,0,-0.5,-1.0,0.0,0.0
3461,12/09/09,Sunderland,Hull,4,1,4,4,5,8,1.2,0.8,5.0,6,4,0,0,0,0,0,0,0,0,-0.2,-0.8,0.4,0.4
3470,19/09/09,Hull,Birmingham,0,1,5,2,12,4,0.6666666666666666,0.6666666666666666,6.0,4,4,0,0,0,0,0,0,0,0,-1.1666666666666667,-0.3333333333333333,0.0,0.0
3479,26/09/09,Liverpool,Hull,6,1,13,5,7,12,1.5,0.6666666666666666,6.0,9,4,0,0,0,0,0,0,0,0,1.0,-1.1666666666666667,0.8333333333333334,0.8333333333333334
3488,03/10/09,Hull,Wigan,2,1,5,4,13,12,0.5714285714285714,0.8571428571428571,7.0,4,3,0,0,0,0,0,0,1,0,-1.1428571428571428,-1.1428571428571428,-0.2857142857142857,0.1428571428571428
3505,19/10/09,Fulham,Hull,2,0,8,8,10,20,1.1111111111111112,0.7777777777777778,9.0,7,4,0,0,0,0,0,0,0,0,-0.2222222222222222,-1.3333333333333333,0.3333333333333333,0.3333333333333333
3509,24/10/09,Hull,Portsmouth,0,0,8,4,20,13,0.7777777777777778,0.3333333333333333,9.0,4,3,0,0,0,0,0,0,1,0,-1.3333333333333333,-1.0,0.4444444444444444,0.1111111111111111
3518,31/10/09,Burnley,Hull,2,0,9,8,19,22,1.2,0.7,10.0,6,3,0,0,0,0,0,0,1,0,-1.0,-1.4,0.5,0.3
3533,08/11/09,Hull,Stoke,2,1,8,11,24,13,0.6666666666666666,1.3333333333333333,12.0,4,8,0,0,0,0,0,0,0,0,-1.3333333333333333,-0.1666666666666666,-0.6666666666666666,-0.3333333333333333
3540,21/11/09,Hull,West Ham,3,3,10,16,25,20,0.8461538461538461,0.7692307692307693,13.0,7,5,0,0,0,0,0,0,0,0,-1.1538461538461535,-0.3076923076923077,0.0769230769230769,0.1538461538461538
3548,25/11/09,Hull,Everton,3,2,10,15,25,20,0.8461538461538461,1.1538461538461535,13.0,7,5,0,0,0,0,0,0,0,0,-1.1538461538461535,-0.3846153846153846,-0.3076923076923077,0.1538461538461538
3552,28/11/09,Man City,Hull,1,1,24,13,17,28,1.5714285714285714,0.8571428571428571,14.0,5,5,0,0,0,0,0,0,0,0,0.5,-1.0714285714285714,0.7142857142857143,0.0
3560,05/12/09,Aston Villa,Hull,3,0,22,16,14,30,1.5333333333333334,1.0,15.0,6,8,0,0,0,0,0,0,0,0,0.5333333333333333,-0.9333333333333332,0.5333333333333333,-0.1333333333333333
3573,12/12/09,Hull,Blackburn,0,0,17,16,31,28,1.0,1.125,16.0,8,8,0,0,0,0,0,0,0,0,-0.875,-0.75,-0.125,0.0
3587,19/12/09,Arsenal,Hull,3,0,41,17,20,34,1.8823529411764703,0.9411764705882352,17.0,7,8,0,0,0,0,0,0,0,0,1.2352941176470589,-1.0,0.9411764705882352,-0.0588235294117647
3605,27/12/09,Hull,Man United,1,3,17,37,37,17,0.8947368421052632,1.947368421052632,19.0,5,9,0,0,0,0,0,0,0,0,-1.0526315789473684,1.0526315789473684,-1.0526315789473684,-0.2105263157894736
3613,29/12/09,Bolton,Hull,2,2,26,18,38,40,0.9,0.85,20.0,6,2,0,0,0,0,0,0,0,0,-0.6,-1.1,0.05,0.2
3624,16/01/10,Tottenham,Hull,0,0,42,20,22,42,1.761904761904762,0.8571428571428571,21.0,10,2,0,0,0,0,0,0,0,0,0.9523809523809524,-1.0476190476190477,0.9047619047619048,0.3809523809523809
3631,23/01/10,Man United,Hull,4,0,46,20,19,42,2.0,0.8636363636363636,22.0,10,3,0,0,0,0,0,0,0,0,1.2272727272727273,-1.0,1.1363636363636365,0.3181818181818182
3643,30/01/10,Hull,Wolves,2,2,20,17,46,38,0.8260869565217391,0.8695652173913043,23.0,2,4,0,0,0,0,0,0,0,0,-1.1304347826086956,-0.9130434782608696,-0.0434782608695652,-0.0869565217391304
3650,02/02/10,Hull,Chelsea,1,1,22,57,48,19,0.8333333333333334,2.25,24.0,3,13,0,0,0,0,0,0,0,0,-1.0833333333333333,1.5833333333333333,-1.4166666666666667,-0.4166666666666667
3654,06/02/10,Hull,Man City,2,1,22,45,48,32,0.8333333333333334,1.7083333333333333,24.0,3,9,0,0,0,0,0,0,0,0,-1.0833333333333333,0.5416666666666666,-0.875,-0.25
3668,10/02/10,Blackburn,Hull,1,0,25,23,40,49,1.12,0.84,25.0,8,4,0,0,0,0,0,0,0,0,-0.6,-1.04,0.28,0.16
3677,20/02/10,West Ham,Hull,3,0,32,25,40,50,0.9230769230769232,0.9230769230769232,26.0,6,6,0,0,0,0,0,0,0,0,-0.3076923076923077,-0.9615384615384616,0.0,0.0
3696,07/03/10,Everton,Hull,5,1,39,25,39,54,1.3571428571428572,0.8571428571428571,28.0,9,5,0,0,0,0,0,0,0,0,0.0,-1.0357142857142858,0.5,0.1428571428571428
3705,13/03/10,Hull,Arsenal,1,2,26,66,59,31,0.8275862068965517,2.0,29.0,4,9,0,0,0,0,0,0,0,0,-1.137931034482759,1.206896551724138,-1.1724137931034482,-0.1724137931034483
3715,20/03/10,Portsmouth,Hull,3,2,25,27,51,61,0.6333333333333333,0.8,30.0,4,3,0,0,0,0,0,0,0,0,-0.8666666666666667,-1.1333333333333333,-0.1666666666666666,0.0333333333333333
3730,27/03/10,Hull,Fulham,2,0,31,33,64,36,0.84375,1.1875,32.0,3,4,0,0,1,0,0,0,0,0,-1.03125,-0.09375,-0.34375,-0.03125
3742,03/04/10,Stoke,Hull,2,0,32,31,35,66,1.2727272727272727,0.8181818181818182,33.0,8,3,0,0,0,0,0,0,1,0,-0.0909090909090909,-1.0606060606060606,0.4545454545454545,0.1515151515151515
3747,10/04/10,Hull,Burnley,1,4,31,31,66,65,0.8181818181818182,0.7272727272727273,33.0,3,1,0,0,1,0,0,0,0,0,-1.0606060606060606,-1.0303030303030305,0.0909090909090909,0.0606060606060606
3757,17/04/10,Birmingham,Hull,0,0,34,32,38,70,1.3529411764705883,0.7941176470588235,34.0,3,3,0,0,0,0,0,0,0,0,-0.1176470588235294,-1.1176470588235294,0.5588235294117647,0.0
3767,21/04/10,Hull,Aston Villa,0,2,32,48,70,35,0.8,1.6571428571428573,35.0,4,8,0,0,0,0,0,0,0,0,-1.0857142857142856,0.3714285714285714,-0.8571428571428571,-0.1142857142857142
3770,24/04/10,Hull,Sunderland,0,1,32,46,72,53,0.7777777777777778,1.1388888888888888,36.0,4,7,0,0,0,0,0,0,0,0,-1.1111111111111112,-0.1944444444444444,-0.3611111111111111,-0.0833333333333333
3787,03/05/10,Wigan,Hull,2,2,35,32,69,73,0.945945945945946,0.7567567567567568,37.0,4,1,0,0,0,0,0,0,0,0,-0.918918918918919,-1.108108108108108,0.1891891891891892,0.081081081081081
3796,09/05/10,Hull,Liverpool,0,0,34,61,75,35,0.7631578947368421,1.631578947368421,38.0,2,8,0,0,0,0,0,0,0,0,-1.0789473684210529,0.6842105263157895,-0.868421052631579,-0.1578947368421052
4947,18/08/13,Chelsea,Hull,2,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4954,24/08/13,Hull,Norwich,1,0,0,2,2,2,0.0,0.5,2.0,0,1,0,0,0,0,0,0,0,0,-1.0,0.0,-0.5,-0.5
4963,31/08/13,Man City,Hull,2,0,6,1,3,2,1.0,1.0,3.0,3,3,0,0,0,0,0,0,0,0,1.0,-0.3333333333333333,0.0,0.0
4973,14/09/13,Hull,Cardiff,1,1,1,3,4,4,0.75,1.0,4.0,3,4,0,0,0,0,0,0,0,0,-0.75,-0.25,-0.25,-0.25
4982,21/09/13,Newcastle,Hull,2,3,3,2,5,5,1.4,0.8,5.0,7,4,0,0,0,0,0,0,0,0,-0.4,-0.6,0.6,0.6
4992,28/09/13,Hull,West Ham,1,0,5,4,7,4,1.1666666666666667,0.8333333333333334,6.0,7,5,0,0,0,0,0,0,0,0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
5002,05/10/13,Hull,Aston Villa,0,0,6,9,7,8,1.4285714285714286,1.2857142857142858,7.0,10,6,0,0,0,0,0,0,1,0,-0.1428571428571428,0.1428571428571428,0.1428571428571428,0.5714285714285714
5012,19/10/13,Everton,Hull,2,1,10,6,9,7,1.5,1.375,8.0,10,8,0,0,0,0,0,0,0,0,0.125,-0.125,0.125,0.25
5029,27/10/13,Tottenham,Hull,1,0,8,7,5,9,1.7777777777777777,1.2222222222222223,9.0,10,8,0,0,0,0,0,0,0,0,0.3333333333333333,-0.2222222222222222,0.5555555555555556,0.2222222222222222
5032,02/11/13,Hull,Sunderland,1,0,7,7,10,21,1.1,0.4,10.0,7,3,0,0,0,0,0,0,1,0,-0.3,-1.4,0.7,0.4
5045,09/11/13,Southampton,Hull,4,1,11,8,4,10,1.7272727272727273,1.2727272727272727,11.0,11,7,0,0,0,0,0,0,0,0,0.6363636363636364,-0.1818181818181818,0.4545454545454545,0.3636363636363636
5053,23/11/13,Hull,Crystal Palace,0,1,9,6,14,21,1.1666666666666667,0.3333333333333333,12.0,4,1,0,0,0,0,0,0,1,0,-0.4166666666666667,-1.25,0.8333333333333334,0.25
5067,01/12/13,Hull,Liverpool,3,1,9,24,15,13,1.0769230769230769,1.8461538461538465,13.0,3,8,0,0,0,0,0,0,0,0,-0.4615384615384615,0.8461538461538461,-0.7692307692307693,-0.3846153846153846
5071,04/12/13,Arsenal,Hull,2,0,27,12,10,16,2.2142857142857144,1.2142857142857142,14.0,12,6,0,0,0,0,0,0,0,0,1.2142857142857142,-0.2857142857142857,1.0,0.4285714285714285
5089,09/12/13,Swansea,Hull,1,1,20,12,19,18,1.2,1.1333333333333333,15.0,7,6,0,0,0,0,0,0,0,0,0.0666666666666666,-0.4,0.0666666666666666,0.0666666666666666
5093,14/12/13,Hull,Stoke,0,0,13,15,19,20,1.125,1.0625,16.0,4,8,0,0,0,0,0,0,0,0,-0.375,-0.3125,0.0625,-0.25
5106,21/12/13,West Brom,Hull,1,1,17,13,22,19,0.8823529411764706,1.1176470588235294,17.0,1,5,0,0,0,0,0,0,0,0,-0.2941176470588235,-0.3529411764705882,-0.2352941176470588,-0.2352941176470588
5114,26/12/13,Hull,Man United,2,3,14,28,20,20,1.1111111111111112,1.5555555555555556,18.0,6,7,0,0,0,0,0,0,0,0,-0.3333333333333333,0.4444444444444444,-0.4444444444444444,-0.0555555555555555
5122,28/12/13,Hull,Fulham,6,0,16,19,23,35,1.0526315789473684,0.8421052631578947,19.0,3,6,0,0,0,0,0,0,0,0,-0.3684210526315789,-0.8421052631578947,0.2105263157894736,-0.1578947368421052
5133,01/01/14,Liverpool,Hull,2,0,44,22,23,23,1.8,1.15,20.0,9,6,1,0,0,0,0,0,0,0,1.05,-0.05,0.65,0.15
5143,11/01/14,Hull,Chelsea,0,2,22,38,25,19,1.0952380952380951,2.0476190476190474,21.0,5,13,0,0,0,0,0,0,0,0,-0.1428571428571428,0.9047619047619048,-0.9523809523809524,-0.3809523809523809
5154,18/01/14,Norwich,Hull,1,0,17,22,35,27,0.9090909090909092,1.0454545454545454,22.0,2,4,0,0,0,0,0,0,0,0,-0.8181818181818182,-0.2272727272727272,-0.1363636363636363,-0.0909090909090909
5160,28/01/14,Crystal Palace,Hull,1,0,14,22,31,28,0.8695652173913043,1.0,23.0,7,3,0,0,0,0,0,0,0,0,-0.7391304347826086,-0.2608695652173913,-0.1304347826086956,0.1739130434782608
5173,01/02/14,Hull,Tottenham,1,1,22,30,29,31,0.9583333333333334,1.7916666666666667,24.0,3,12,0,0,0,0,1,0,0,0,-0.2916666666666667,-0.0416666666666666,-0.8333333333333334,-0.375
5186,08/02/14,Sunderland,Hull,0,2,25,23,36,30,0.96,0.96,25.0,10,1,0,0,0,0,0,0,1,0,-0.44,-0.28,0.0,0.36
5191,11/02/14,Hull,Southampton,0,1,25,36,30,29,1.0384615384615383,1.3846153846153846,26.0,4,9,0,0,1,0,0,0,0,0,-0.1923076923076923,0.2692307692307692,-0.3461538461538461,-0.1923076923076923
5199,22/02/14,Cardiff,Hull,0,4,19,25,44,30,0.8076923076923077,1.0384615384615383,26.0,3,4,0,0,1,0,0,0,1,0,-0.9615384615384616,-0.1923076923076923,-0.2307692307692307,-0.0384615384615384
5210,01/03/14,Hull,Newcastle,1,4,29,33,31,38,1.0714285714285714,1.4285714285714286,28.0,7,4,0,0,0,0,0,0,0,0,-0.0714285714285714,-0.1785714285714285,-0.3571428571428571,0.1071428571428571
5224,15/03/14,Hull,Man City,0,2,30,76,35,27,1.0344827586206895,2.1724137931034484,29.0,7,10,0,0,0,0,0,0,0,0,-0.1724137931034483,1.6896551724137931,-1.137931034482759,-0.1034482758620689
5234,22/03/14,Hull,West Brom,2,0,30,33,37,43,1.0,0.9333333333333332,30.0,6,5,0,0,0,0,0,0,0,0,-0.2333333333333333,-0.3333333333333333,0.0666666666666666,0.0333333333333333
5245,26/03/14,West Ham,Hull,2,1,32,32,40,37,1.0,1.064516129032258,31.0,6,6,0,0,0,0,0,0,0,0,-0.2580645161290322,-0.1612903225806451,-0.064516129032258,0.0
5250,29/03/14,Stoke,Hull,1,0,36,33,45,39,1.15625,1.03125,32.0,10,6,0,0,0,0,0,0,0,0,-0.28125,-0.1875,0.125,0.125
5259,05/04/14,Hull,Swansea,1,0,33,42,39,48,1.03125,0.9375,32.0,6,2,0,0,0,0,0,0,0,0,-0.1875,-0.1875,0.09375,0.125
5284,20/04/14,Hull,Arsenal,0,3,34,59,43,41,1.0285714285714285,1.9142857142857144,35.0,6,5,0,0,0,0,0,0,0,0,-0.2571428571428571,0.5142857142857142,-0.8857142857142857,0.0285714285714285
5287,26/04/14,Fulham,Hull,2,2,34,34,74,43,0.8571428571428571,1.0285714285714285,35.0,9,6,0,0,0,0,0,0,0,0,-1.1428571428571428,-0.2571428571428571,-0.1714285714285714,0.0857142857142857
5297,03/05/14,Aston Villa,Hull,3,1,36,36,53,45,0.9722222222222222,1.0277777777777777,36.0,1,4,0,0,1,0,0,0,0,0,-0.4722222222222222,-0.25,-0.0555555555555555,-0.0833333333333333
5307,06/05/14,Man United,Hull,3,1,60,37,41,48,1.6216216216216215,1.0,37.0,9,4,0,0,0,0,0,0,0,0,0.5135135135135135,-0.2972972972972973,0.6216216216216216,0.1351351351351351
5312,11/05/14,Hull,Everton,0,2,38,59,51,39,0.9736842105263158,1.8157894736842104,38.0,4,6,0,0,0,0,0,0,0,0,-0.3421052631578947,0.5263157894736842,-0.8421052631578947,-0.0526315789473684
5323,16/08/14,QPR,Hull,0,1,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5336,24/08/14,Hull,Stoke,1,1,1,0,0,1,1.5,0.0,2.0,3,0,0,0,0,0,0,0,0,0,0.5,-0.5,1.5,1.5
5347,31/08/14,Aston Villa,Hull,2,1,1,2,0,1,1.3333333333333333,1.3333333333333333,3.0,4,4,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0
5359,15/09/14,Hull,West Ham,2,2,3,4,3,5,1.0,0.75,4.0,4,3,0,0,0,0,0,0,0,0,0.0,-0.25,0.25,0.25
5362,20/09/14,Newcastle,Hull,2,2,3,5,9,5,0.4,1.0,5.0,2,5,0,0,0,0,0,0,0,0,-1.2,0.0,-0.6,-0.6
5373,27/09/14,Hull,Man City,2,4,7,8,7,5,1.0,1.3333333333333333,6.0,6,8,0,0,0,0,0,0,0,0,0.0,0.5,-0.3333333333333333,-0.3333333333333333
5381,04/10/14,Hull,Crystal Palace,2,0,9,10,11,10,0.8571428571428571,1.1428571428571428,7.0,3,8,0,0,0,0,0,0,0,0,-0.2857142857142857,0.0,-0.2857142857142857,-0.7142857142857143
5390,18/10/14,Arsenal,Hull,2,2,11,11,9,11,1.25,1.125,8.0,6,5,0,0,0,0,0,0,0,0,0.25,0.0,0.125,0.125
5400,25/10/14,Liverpool,Hull,0,0,13,13,12,13,1.4444444444444444,1.1111111111111112,9.0,7,6,0,0,0,0,0,0,0,0,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111
5413,01/11/14,Hull,Southampton,0,1,13,20,13,5,1.1,1.9,10.0,6,12,0,0,0,0,0,0,0,0,0.0,1.5,-0.8,-0.6
