Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
8,19/08/00,Tottenham,Ipswich,3,1,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
12,22/08/00,Ipswich,Man United,1,1,1,2,3,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-1.0,1.0,-1.5,-1.5
22,26/08/00,Ipswich,Sunderland,1,0,2,3,4,4,0.3333333333333333,1.0,3.0,1,3,0,0,0,0,0,0,0,0,-0.6666666666666666,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666
37,06/09/00,Leicester,Ipswich,2,1,1,3,0,4,1.25,1.0,4.0,5,4,0,0,0,0,0,0,0,0,0.25,-0.25,0.25,0.25
41,09/09/00,Ipswich,Aston Villa,1,2,4,4,6,5,0.8,1.0,5.0,4,5,0,0,0,0,0,0,0,0,-0.4,-0.2,-0.2,-0.2
53,16/09/00,Leeds,Ipswich,1,2,6,5,5,8,1.1666666666666667,0.6666666666666666,6.0,7,4,0,0,0,0,0,0,0,0,0.1666666666666666,-0.5,0.5,0.5
62,23/09/00,Ipswich,Arsenal,1,1,7,12,9,8,1.0,1.5714285714285714,7.0,7,11,0,0,0,0,0,0,0,0,-0.2857142857142857,0.5714285714285714,-0.5714285714285714,-0.5714285714285714
71,30/09/00,Everton,Ipswich,0,3,11,8,12,10,1.0,1.0,8.0,5,7,0,0,0,0,0,0,0,0,-0.125,-0.25,0.0,-0.25
82,14/10/00,Ipswich,West Ham,1,1,11,10,10,11,1.2222222222222223,0.7777777777777778,9.0,7,6,0,0,0,0,0,0,0,0,0.1111111111111111,-0.1111111111111111,0.4444444444444444,0.1111111111111111
89,21/10/00,Bradford,Ipswich,0,2,4,11,12,10,0.6666666666666666,1.2222222222222223,9.0,2,7,0,0,0,0,0,0,0,0,-0.8888888888888888,0.1111111111111111,-0.5555555555555556,-0.5555555555555556
102,28/10/00,Ipswich,Middlesbrough,2,1,14,15,11,16,1.3636363636363635,0.9090909090909092,11.0,11,5,0,0,0,0,0,0,0,0,0.2727272727272727,-0.0909090909090909,0.4545454545454545,0.5454545454545454
114,04/11/00,Newcastle,Ipswich,2,1,11,16,10,12,1.3333333333333333,1.5,12.0,6,11,0,0,0,0,0,0,0,0,0.0833333333333333,0.3333333333333333,-0.1666666666666666,-0.4166666666666667
122,11/11/00,Ipswich,Charlton,2,0,17,19,14,18,1.3846153846153846,1.3846153846153846,13.0,10,7,0,0,0,0,0,0,0,0,0.2307692307692307,0.0769230769230769,0.0,0.2307692307692307
138,20/11/00,Coventry,Ipswich,0,1,13,19,28,14,0.7857142857142857,1.5,14.0,3,10,0,0,0,0,0,0,0,0,-1.0714285714285714,0.3571428571428571,-0.7142857142857143,-0.5
143,25/11/00,Man City,Ipswich,2,3,15,20,25,14,0.9333333333333332,1.6,15.0,3,12,0,0,0,0,0,0,0,0,-0.6666666666666666,0.4,-0.6666666666666666,-0.6
152,02/12/00,Ipswich,Derby,0,1,23,18,16,31,1.6875,0.625,16.0,12,5,0,0,0,0,0,0,0,0,0.4375,-0.8125,1.0625,0.4375
