Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
4,19/08/00,Leeds,Everton,2,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
24,26/08/00,Middlesbrough,Leeds,1,2,4,4,2,1,1.3333333333333333,2.0,3.0,4,6,0,0,0,0,0,0,0,0,0.6666666666666666,1.0,-0.6666666666666666,-0.6666666666666666
29,05/09/00,Leeds,Man City,1,2,4,4,1,6,2.0,1.0,3.0,6,3,0,0,0,0,0,0,0,0,1.0,-0.6666666666666666,1.0,1.0
40,09/09/00,Coventry,Leeds,0,0,5,5,7,3,1.2,1.4,5.0,6,7,0,0,0,0,0,0,0,0,-0.4,0.4,-0.2,-0.2
53,16/09/00,Leeds,Ipswich,1,2,6,5,5,8,1.1666666666666667,0.6666666666666666,6.0,7,4,0,0,0,0,0,0,0,0,0.1666666666666666,-0.5,0.5,0.5
61,23/09/00,Derby,Leeds,1,1,12,7,14,6,0.5714285714285714,1.1428571428571428,7.0,3,5,0,0,0,0,0,0,0,0,-0.2857142857142857,0.1428571428571428,-0.5714285714285714,-0.2857142857142857
72,30/09/00,Leeds,Tottenham,4,3,11,8,9,7,1.375,1.375,8.0,5,7,0,0,0,0,0,0,0,0,0.25,0.125,0.0,-0.25
83,14/10/00,Leeds,Charlton,3,1,14,14,10,13,1.5555555555555556,1.3333333333333333,9.0,8,9,0,0,0,0,0,0,0,0,0.4444444444444444,0.1111111111111111,0.2222222222222222,-0.1111111111111111
93,21/10/00,Man United,Leeds,3,0,23,14,8,13,1.8,1.4,10.0,10,7,0,0,0,0,0,0,0,0,1.5,0.1,0.4,0.3
107,29/10/00,Bradford,Leeds,1,1,4,15,16,14,0.5454545454545454,1.3636363636363635,11.0,1,8,0,0,0,0,0,0,0,0,-1.0909090909090908,0.0909090909090909,-0.8181818181818182,-0.6363636363636364
111,04/11/00,Leeds,Liverpool,4,3,19,20,17,14,1.5,1.75,12.0,10,10,0,0,0,0,0,0,0,0,0.1666666666666666,0.5,-0.25,0.0
127,12/11/00,Chelsea,Leeds,1,1,24,20,17,18,1.2307692307692308,1.4615384615384617,13.0,9,8,0,0,0,0,0,0,0,0,0.5384615384615384,0.1538461538461538,-0.2307692307692307,0.0769230769230769
132,18/11/00,Leeds,West Ham,0,1,20,17,19,15,1.3571428571428572,1.0714285714285714,14.0,5,8,0,0,0,0,0,0,0,0,0.0714285714285714,0.1428571428571428,0.2857142857142857,-0.2142857142857142
147,26/11/00,Leeds,Arsenal,1,0,21,23,19,12,1.4666666666666666,1.8666666666666667,15.0,8,10,0,0,0,0,1,0,0,0,0.1333333333333333,0.7333333333333333,-0.4,-0.1333333333333333
153,02/12/00,Leicester,Leeds,3,1,14,22,11,22,1.625,1.375,16.0,10,7,0,0,0,0,0,0,0,0,0.1875,0.0,0.25,0.1875
164,09/12/00,Southampton,Leeds,1,0,21,22,28,23,1.0,1.2941176470588236,17.0,7,4,0,0,0,0,0,0,0,0,-0.4117647058823529,-0.0588235294117647,-0.2941176470588235,0.1764705882352941
173,16/12/00,Leeds,Sunderland,2,0,24,18,23,16,1.3888888888888888,1.6111111111111112,18.0,6,13,0,0,0,0,0,0,0,0,0.0555555555555555,0.1111111111111111,-0.2222222222222222,-0.3888888888888889
183,23/12/00,Leeds,Aston Villa,1,2,25,23,25,17,1.3157894736842106,1.5263157894736843,19.0,6,7,0,0,0,0,0,0,0,0,0.0,0.3157894736842105,-0.2105263157894736,-0.0526315789473684
196,26/12/00,Newcastle,Leeds,2,1,20,26,24,27,1.35,1.25,20.0,7,3,0,0,0,0,0,0,0,0,-0.2,-0.05,0.1,0.2
209,01/01/01,Leeds,Middlesbrough,1,1,27,21,28,28,1.238095238095238,0.8571428571428571,21.0,4,7,0,0,0,0,0,0,0,0,-0.0476190476190476,-0.3333333333333333,0.3809523809523809,-0.1428571428571428
219,13/01/01,Man City,Leeds,0,4,26,31,37,28,0.8636363636363636,1.318181818181818,22.0,5,7,0,0,0,0,0,0,0,0,-0.5,0.1363636363636363,-0.4545454545454545,-0.0909090909090909
228,20/01/01,Leeds,Newcastle,1,3,32,25,31,30,1.2608695652173914,1.3478260869565215,23.0,4,7,0,0,0,0,0,0,0,0,0.0434782608695652,-0.217391304347826,-0.0869565217391304,-0.1304347826086956
235,24/01/01,Aston Villa,Leeds,1,2,24,34,26,32,1.2083333333333333,1.3333333333333333,24.0,0,7,0,0,1,1,0,0,0,0,-0.0833333333333333,0.0833333333333333,-0.125,-0.2916666666666667
240,31/01/01,Leeds,Coventry,1,0,35,23,32,43,1.4,0.84,25.0,10,5,0,0,0,0,0,0,0,0,0.12,-0.8,0.56,0.2
248,03/02/01,Ipswich,Leeds,1,2,36,35,30,32,1.6,1.4,25.0,7,10,0,0,0,0,0,0,0,0,0.24,0.12,0.2,-0.12
254,07/02/01,Everton,Leeds,2,2,26,37,37,33,1.0384615384615383,1.4615384615384617,26.0,5,12,0,0,0,0,0,0,0,0,-0.4230769230769231,0.1538461538461538,-0.4230769230769231,-0.2692307692307692
259,10/02/01,Leeds,Derby,0,0,37,26,33,43,1.4615384615384617,0.9230769230769232,26.0,12,4,0,0,0,0,0,0,0,0,0.1538461538461538,-0.6538461538461539,0.5384615384615384,0.3076923076923077
272,24/02/01,Tottenham,Leeds,1,2,31,39,34,35,1.2857142857142858,1.4285714285714286,28.0,7,11,0,0,0,0,1,0,0,0,-0.1071428571428571,0.1428571428571428,-0.1428571428571428,-0.1428571428571428
278,03/03/01,Leeds,Man United,1,1,39,59,35,17,1.4285714285714286,2.25,28.0,11,13,1,0,0,0,1,0,0,0,0.1428571428571428,1.5,-0.8214285714285714,-0.0714285714285714
287,17/03/01,Charlton,Leeds,1,2,38,41,40,36,1.4137931034482758,1.4827586206896552,29.0,9,11,0,0,0,0,0,0,0,0,-0.0689655172413793,0.1724137931034483,-0.0689655172413793,-0.0689655172413793
302,31/03/01,Sunderland,Leeds,0,2,37,44,30,38,1.5483870967741935,1.5161290322580645,31.0,5,9,0,0,0,0,0,0,0,0,0.2258064516129032,0.1935483870967742,0.032258064516129,-0.1290322580645161
309,07/04/01,Leeds,Southampton,2,0,44,34,38,37,1.5161290322580645,1.4193548387096775,31.0,9,12,0,0,0,0,1,0,0,0,0.1935483870967742,-0.0967741935483871,0.0967741935483871,-0.0967741935483871
318,13/04/01,Liverpool,Leeds,1,2,52,46,34,38,1.5625,1.5625,32.0,5,11,0,0,0,0,0,0,0,0,0.5625,0.25,0.0,-0.1875
342,21/04/01,West Ham,Leeds,0,2,41,52,45,39,1.1142857142857143,1.6857142857142855,35.0,4,15,0,0,0,0,1,1,0,0,-0.1142857142857142,0.3714285714285714,-0.5714285714285714,-0.3142857142857143
347,28/04/01,Leeds,Chelsea,2,0,52,62,39,39,1.6857142857142855,1.542857142857143,35.0,15,12,1,1,0,0,1,0,0,0,0.3714285714285714,0.6571428571428571,0.1428571428571428,0.0857142857142857
356,05/05/01,Arsenal,Leeds,2,1,59,54,34,39,1.8333333333333333,1.7222222222222223,36.0,12,15,0,0,0,0,1,1,0,0,0.6944444444444444,0.4166666666666667,0.1111111111111111,-0.0833333333333333
367,13/05/01,Leeds,Bradford,6,1,55,29,41,64,1.6756756756756757,0.6756756756756757,37.0,12,7,1,0,0,0,0,0,0,0,0.3783783783783784,-0.945945945945946,1.0,0.1351351351351351
374,19/05/01,Leeds,Leicester,3,1,61,38,42,48,1.7105263157894737,1.263157894736842,38.0,12,3,1,0,0,0,0,0,1,0,0.5,-0.2631578947368421,0.4473684210526316,0.2368421052631578
382,18/08/01,Leeds,Southampton,2,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
391,21/08/01,Arsenal,Leeds,1,2,4,2,0,0,1.5,1.5,2.0,3,3,0,0,0,0,0,0,0,0,2.0,1.0,0.0,0.0
402,25/08/01,West Ham,Leeds,0,0,1,4,2,1,0.3333333333333333,2.0,3.0,1,6,0,0,0,0,0,0,0,0,-0.3333333333333333,1.0,-1.6666666666666667,-1.6666666666666667
408,08/09/01,Leeds,Bolton,0,0,4,6,1,0,2.0,2.0,3.0,6,6,0,0,0,0,0,0,0,0,1.0,2.0,0.0,0.0
423,16/09/01,Charlton,Leeds,0,2,3,4,5,1,0.8,1.6,5.0,4,8,0,0,0,0,0,0,0,0,-0.4,0.6,-0.8,-0.8
436,23/09/01,Leeds,Derby,3,0,6,5,1,7,1.8333333333333333,0.8333333333333334,6.0,11,5,0,0,0,0,0,0,0,0,0.8333333333333334,-0.3333333333333333,1.0,1.0
448,30/09/01,Ipswich,Leeds,1,2,5,9,9,1,0.7142857142857143,2.0,7.0,5,11,0,0,0,0,0,0,0,0,-0.5714285714285714,1.1428571428571428,-1.2857142857142858,-0.8571428571428571
454,13/10/01,Liverpool,Leeds,1,1,11,11,8,2,1.625,2.125,8.0,10,11,0,0,0,0,0,0,0,0,0.375,1.125,-0.5,-0.125
467,21/10/01,Leeds,Chelsea,0,0,12,12,3,7,2.0,1.5555555555555556,9.0,11,9,0,0,0,0,0,0,0,0,1.0,0.5555555555555556,0.4444444444444444,0.2222222222222222
477,27/10/01,Man United,Leeds,1,1,26,12,16,3,1.7,1.9,10.0,9,11,0,0,0,0,1,0,0,0,1.0,0.9,-0.2,-0.2
491,04/11/01,Leeds,Tottenham,2,1,15,18,5,15,1.9166666666666667,1.4166666666666667,12.0,9,9,0,0,0,0,0,0,0,0,0.8333333333333334,0.25,0.5,0.0
501,18/11/01,Sunderland,Leeds,2,0,10,15,14,7,1.0,1.7692307692307692,13.0,4,6,0,0,0,0,0,0,0,0,-0.3076923076923077,0.6153846153846154,-0.7692307692307693,-0.1538461538461538
510,25/11/01,Leeds,Aston Villa,1,1,16,18,8,12,1.7142857142857142,1.6428571428571428,14.0,6,8,0,0,0,0,0,0,0,0,0.5714285714285714,0.4285714285714285,0.0714285714285714,-0.1428571428571428
521,02/12/01,Fulham,Leeds,0,0,15,16,13,8,1.2666666666666666,1.6666666666666667,15.0,11,6,1,0,0,0,0,0,0,0,0.1333333333333333,0.5333333333333333,-0.4,0.3333333333333333
532,09/12/01,Blackburn,Leeds,1,2,21,18,17,9,1.1875,1.75,16.0,6,8,0,0,0,0,0,0,0,0,0.25,0.5625,-0.5625,-0.125
545,16/12/01,Leeds,Leicester,2,2,20,9,11,29,1.7058823529411764,0.7647058823529411,17.0,6,7,0,0,0,0,0,0,0,0,0.5294117647058824,-1.1764705882352942,0.9411764705882352,-0.0588235294117647
548,19/12/01,Leeds,Everton,3,2,20,21,11,19,1.7058823529411764,1.3529411764705883,17.0,6,8,0,0,0,0,0,0,0,0,0.5294117647058824,0.1176470588235294,0.3529411764705882,-0.1176470588235294
551,22/12/01,Leeds,Newcastle,3,4,23,30,13,20,1.7777777777777777,1.8333333333333333,18.0,9,13,0,0,0,0,0,0,0,0,0.5555555555555556,0.5555555555555556,-0.0555555555555555,-0.2222222222222222
561,26/12/01,Bolton,Leeds,0,3,21,26,26,17,1.105263157894737,1.6842105263157894,19.0,2,8,0,0,0,0,0,0,0,0,-0.2631578947368421,0.4736842105263157,-0.5789473684210527,-0.3157894736842105
575,29/12/01,Southampton,Leeds,0,1,19,29,31,17,0.95,1.75,20.0,9,10,0,0,0,0,0,0,0,0,-0.6,0.6,-0.8,-0.05
580,01/01/02,Leeds,West Ham,3,0,30,25,17,31,1.809523809523809,1.1904761904761905,21.0,10,9,0,0,0,0,0,0,0,0,0.6190476190476191,-0.2857142857142857,0.6190476190476191,0.0476190476190476
594,12/01/02,Newcastle,Leeds,3,1,39,33,28,17,1.7727272727272727,1.8636363636363635,22.0,9,12,1,0,0,0,0,0,0,0,0.5,0.7272727272727273,-0.0909090909090909,-0.1363636363636363
606,20/01/02,Leeds,Arsenal,1,1,34,43,20,26,1.7826086956521738,1.7826086956521738,23.0,9,11,0,0,0,0,1,0,0,0,0.6086956521739131,0.7391304347826086,0.0,-0.0869565217391304
615,30/01/02,Chelsea,Leeds,2,0,40,35,23,21,1.5416666666666667,1.75,24.0,7,10,0,0,0,0,1,0,0,0,0.7083333333333334,0.5833333333333334,-0.2083333333333333,-0.125
