Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
5,19/08/00,Leicester,Aston Villa,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18,23/08/00,West Ham,Leicester,0,1,2,0,4,0,0.0,0.5,2.0,0,1,0,0,0,0,0,0,0,0,-1.0,0.0,-0.5,-0.5
20,26/08/00,Bradford,Leicester,0,0,2,1,1,0,1.0,1.3333333333333333,3.0,3,4,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333
37,06/09/00,Leicester,Ipswich,2,1,1,3,0,4,1.25,1.0,4.0,5,4,0,0,0,0,0,0,0,0,0.25,-0.25,0.25,0.25
42,09/09/00,Leicester,Southampton,1,0,3,7,1,8,1.6,0.6,5.0,8,3,0,0,0,0,0,0,0,0,0.4,-0.2,1.0,1.0
56,17/09/00,Chelsea,Leicester,0,2,7,4,7,1,1.0,1.8333333333333333,6.0,6,11,0,0,0,0,0,0,0,0,0.0,0.5,-0.8333333333333334,-0.8333333333333334
68,24/09/00,Leicester,Everton,1,1,6,10,1,11,2.0,1.0,7.0,13,7,0,0,0,0,0,0,0,0,0.7142857142857143,-0.1428571428571428,1.0,0.8571428571428571
78,01/10/00,Sunderland,Leicester,0,0,7,7,11,2,1.0,1.875,8.0,5,11,0,0,0,0,0,0,0,0,-0.5,0.625,-0.875,-0.75
84,14/10/00,Leicester,Man United,0,3,7,20,2,8,1.7777777777777777,1.6666666666666667,9.0,11,10,1,0,0,0,1,0,0,0,0.5555555555555556,1.3333333333333333,0.1111111111111111,0.1111111111111111
92,21/10/00,Liverpool,Leicester,1,0,16,7,13,5,1.5,1.6,10.0,8,8,0,0,0,0,0,0,0,0,0.3,0.2,-0.1,0.0
103,28/10/00,Leicester,Derby,2,1,7,15,6,26,1.4545454545454546,0.4545454545454545,11.0,5,1,0,0,0,0,0,0,0,0,0.0909090909090909,-1.0,1.0,0.3636363636363636
112,04/11/00,Man City,Leicester,0,1,14,9,19,7,1.1666666666666667,1.5833333333333333,12.0,7,5,0,0,0,0,0,0,0,0,-0.4166666666666667,0.1666666666666666,-0.4166666666666667,0.1666666666666666
123,11/11/00,Leicester,Newcastle,1,1,10,13,7,11,1.6923076923076923,1.4615384615384617,13.0,7,9,0,0,0,0,0,0,0,0,0.2307692307692307,0.1538461538461538,0.2307692307692307,-0.1538461538461538
134,18/11/00,Middlesbrough,Leicester,0,3,17,11,21,8,0.7142857142857143,1.6428571428571428,14.0,0,7,0,0,1,1,0,0,0,0,-0.2857142857142857,0.2142857142857142,-0.9285714285714286,-0.5
146,25/11/00,Tottenham,Leicester,3,0,19,14,21,8,1.3333333333333333,1.7333333333333334,15.0,9,10,0,0,0,0,0,0,0,0,-0.1333333333333333,0.4,-0.4,-0.0666666666666666
153,02/12/00,Leicester,Leeds,3,1,14,22,11,22,1.625,1.375,16.0,10,7,0,0,0,0,0,0,0,0,0.1875,0.0,0.25,0.1875
167,10/12/00,Coventry,Leicester,1,0,15,17,32,12,0.7058823529411765,1.7058823529411764,17.0,1,10,0,0,1,0,0,0,0,0,-1.0,0.2941176470588235,-1.0,-0.5294117647058824
174,16/12/00,Leicester,Charlton,3,1,17,24,13,27,1.6111111111111112,1.2222222222222223,18.0,7,4,0,0,0,0,0,0,0,0,0.2222222222222222,-0.1666666666666666,0.3888888888888889,0.1666666666666666
184,23/12/00,Leicester,West Ham,2,1,20,24,14,19,1.6842105263157894,1.368421052631579,19.0,9,11,0,0,0,0,1,0,0,0,0.3157894736842105,0.2631578947368421,0.3157894736842105,-0.1052631578947368
189,26/12/00,Arsenal,Leicester,6,1,30,20,14,14,1.8421052631578947,1.6842105263157894,19.0,7,9,0,0,0,0,0,0,0,0,0.8421052631578947,0.3157894736842105,0.1578947368421052,-0.1052631578947368
210,01/01/01,Leicester,Bradford,1,2,24,16,23,38,1.5909090909090908,0.6818181818181818,22.0,6,4,0,0,0,0,0,0,0,0,0.0454545454545454,-1.0,0.9090909090909092,0.0909090909090909
224,14/01/01,Ipswich,Leicester,2,0,33,24,26,25,1.608695652173913,1.5217391304347827,23.0,7,6,0,0,0,0,0,0,0,0,0.3043478260869565,-0.0434782608695652,0.0869565217391304,0.0434782608695652
229,20/01/01,Leicester,Arsenal,0,0,24,38,25,22,1.5217391304347827,1.6956521739130437,23.0,6,5,0,0,0,0,0,0,0,0,-0.0434782608695652,0.6956521739130435,-0.1739130434782608,0.0434782608695652
242,31/01/01,Southampton,Leicester,1,0,28,24,34,26,1.16,1.44,25.0,8,1,0,0,0,0,0,0,1,0,-0.24,-0.08,-0.28,0.28
