Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
6,19/08/00,Liverpool,Bradford,1,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10,21/08/00,Arsenal,Liverpool,2,0,0,1,1,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-0.5,0.5,-1.5,-1.5
26,26/08/00,Southampton,Liverpool,3,3,3,1,4,2,0.3333333333333333,1.0,3.0,1,3,0,0,0,0,0,0,0,0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666
38,06/09/00,Liverpool,Aston Villa,3,1,4,2,5,4,1.0,0.5,4.0,4,2,0,0,0,0,0,0,0,0,-0.25,-0.5,0.5,0.5
43,09/09/00,Liverpool,Man City,3,2,7,7,6,9,1.4,1.2,5.0,7,6,0,0,0,0,0,0,0,0,0.2,-0.4,0.2,0.2
58,17/09/00,West Ham,Liverpool,1,1,5,10,9,8,0.3333333333333333,1.6666666666666667,6.0,2,10,0,0,0,0,0,0,0,0,-0.6666666666666666,0.3333333333333333,-1.3333333333333333,-1.3333333333333333
63,23/09/00,Liverpool,Sunderland,1,1,11,6,9,10,1.5714285714285714,1.0,7.0,8,4,0,0,0,0,0,0,0,0,0.2857142857142857,-0.5714285714285714,0.5714285714285714,0.5714285714285714
77,01/10/00,Chelsea,Liverpool,3,0,10,12,12,10,0.875,1.5,8.0,4,9,0,0,0,0,0,0,0,0,-0.25,0.25,-0.625,-0.625
87,15/10/00,Derby,Liverpool,0,4,14,12,19,13,0.5555555555555556,1.3333333333333333,9.0,3,8,0,0,0,0,0,0,0,0,-0.5555555555555556,-0.1111111111111111,-0.7777777777777778,-0.5555555555555556
92,21/10/00,Liverpool,Leicester,1,0,16,7,13,5,1.5,1.6,10.0,8,8,0,0,0,0,0,0,0,0,0.3,0.2,-0.1,0.0
108,29/10/00,Liverpool,Everton,3,1,17,13,13,16,1.6363636363636365,1.0909090909090908,11.0,8,5,0,0,0,0,0,0,0,0,0.3636363636363636,-0.2727272727272727,0.5454545454545454,0.2727272727272727
111,04/11/00,Leeds,Liverpool,4,3,19,20,17,14,1.5,1.75,12.0,10,10,0,0,0,0,0,0,0,0,0.1666666666666666,0.5,-0.25,0.0
128,12/11/00,Liverpool,Coventry,4,1,23,12,18,24,1.6153846153846154,0.8461538461538461,13.0,9,4,0,0,0,0,0,0,0,0,0.3846153846153846,-0.9230769230769232,0.7692307692307693,0.3846153846153846
137,19/11/00,Tottenham,Liverpool,2,1,17,27,20,19,1.2142857142857142,1.7142857142857142,14.0,6,12,0,0,0,0,1,0,0,0,-0.2142857142857142,0.5714285714285714,-0.5,-0.4285714285714285
148,26/11/00,Newcastle,Liverpool,2,1,15,28,14,21,1.3333333333333333,1.6,15.0,4,9,0,0,0,0,0,0,0,0,0.0666666666666666,0.4666666666666667,-0.2666666666666666,-0.3333333333333333
154,02/12/00,Liverpool,Charlton,3,0,29,21,23,21,1.5,1.3125,16.0,6,6,0,0,0,0,0,0,0,0,0.375,0.0,0.1875,0.0
168,10/12/00,Liverpool,Ipswich,0,1,32,23,23,17,1.588235294117647,1.588235294117647,17.0,6,9,0,0,0,0,0,0,0,0,0.5294117647058824,0.3529411764705882,0.0,-0.1764705882352941
177,17/12/00,Man United,Liverpool,0,1,44,32,13,24,2.2222222222222223,1.5,18.0,13,6,1,0,0,0,0,0,0,0,1.7222222222222223,0.4444444444444444,0.7222222222222222,0.3888888888888889
185,23/12/00,Liverpool,Arsenal,4,0,33,30,24,14,1.5789473684210529,1.8421052631578947,19.0,6,7,0,0,0,0,0,0,0,0,0.4736842105263157,0.8421052631578947,-0.2631578947368421,-0.0526315789473684
195,26/12/00,Middlesbrough,Liverpool,1,0,20,37,28,24,0.75,1.65,20.0,5,9,0,0,0,0,0,0,0,0,-0.4,0.65,-0.9,-0.2
211,01/01/01,Liverpool,Southampton,2,1,39,27,26,32,1.6363636363636365,1.2272727272727273,22.0,9,10,0,0,0,0,0,0,0,0,0.5909090909090909,-0.2272727272727272,0.4090909090909091,-0.0454545454545454
