Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
0,19/08/00,Charlton,Man City,4,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15,23/08/00,Man City,Sunderland,4,2,0,1,4,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-2.0,0.5,-1.5,-1.5
23,26/08/00,Man City,Coventry,1,2,4,3,6,4,1.0,1.0,3.0,3,3,0,0,0,0,0,0,0,0,-0.6666666666666666,-0.3333333333333333,0.0,0.0
29,05/09/00,Leeds,Man City,1,2,4,4,1,6,2.0,1.0,3.0,6,3,0,0,0,0,0,0,0,0,1.0,-0.6666666666666666,1.0,1.0
43,09/09/00,Liverpool,Man City,3,2,7,7,6,9,1.4,1.2,5.0,7,6,0,0,0,0,0,0,0,0,0.2,-0.4,0.2,0.2
57,17/09/00,Man City,Middlesbrough,1,1,9,9,12,9,1.0,0.8333333333333334,6.0,6,5,0,0,0,0,0,0,0,0,-0.5,0.0,0.1666666666666666,0.1666666666666666
67,23/09/00,Tottenham,Man City,0,0,8,10,7,13,1.4285714285714286,1.0,7.0,7,7,0,0,0,0,0,0,0,0,0.1428571428571428,-0.4285714285714285,0.4285714285714285,0.0
73,30/09/00,Man City,Newcastle,0,1,10,7,13,7,1.0,1.25,8.0,5,7,0,0,0,0,0,0,0,0,-0.375,0.0,-0.25,-0.25
85,14/10/00,Man City,Bradford,2,0,10,4,14,12,0.8888888888888888,0.6666666666666666,9.0,5,2,0,0,0,0,0,0,0,0,-0.4444444444444444,-0.8888888888888888,0.2222222222222222,0.3333333333333333
98,23/10/00,Southampton,Man City,0,2,12,12,13,14,1.0,1.1,10.0,7,5,0,0,0,0,0,0,0,0,-0.1,-0.2,-0.1,0.2
99,28/10/00,Arsenal,Man City,5,0,15,12,9,14,1.8,1.1,10.0,11,5,0,0,0,0,0,0,0,0,0.6,-0.2,0.7,0.6
112,04/11/00,Man City,Leicester,0,1,14,9,19,7,1.1666666666666667,1.5833333333333333,12.0,7,5,0,0,0,0,0,0,0,0,-0.4166666666666667,0.1666666666666666,-0.4166666666666667,0.1666666666666666
126,11/11/00,West Ham,Man City,4,1,13,14,14,20,0.9230769230769232,1.0769230769230769,13.0,6,6,0,0,0,0,0,0,0,0,-0.0769230769230769,-0.4615384615384615,-0.1538461538461538,0.0
133,18/11/00,Man City,Man United,0,1,15,35,24,10,1.0,2.142857142857143,14.0,6,15,0,0,0,0,1,1,0,0,-0.6428571428571429,1.7857142857142858,-1.1428571428571428,-0.6428571428571429
143,25/11/00,Man City,Ipswich,2,3,15,20,25,14,0.9333333333333332,1.6,15.0,3,12,0,0,0,0,0,0,0,0,-0.6666666666666666,0.4,-0.6666666666666666,-0.6
157,03/12/00,Chelsea,Man City,2,1,26,17,22,28,1.0625,0.875,16.0,4,0,0,0,0,0,0,0,1,1,0.25,-0.6875,0.1875,0.25
163,09/12/00,Man City,Everton,5,0,18,19,30,23,0.8235294117647058,1.2352941176470589,17.0,0,9,0,0,1,1,0,0,0,0,-0.7058823529411765,-0.2352941176470588,-0.4117647058823529,-0.5294117647058824
