Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
9,20/08/00,Man United,Newcastle,2,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
12,22/08/00,Ipswich,Man United,1,1,1,2,3,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-1.0,1.0,-1.5,-1.5
27,26/08/00,West Ham,Man United,2,2,2,3,5,1,0.0,1.3333333333333333,3.0,0,4,0,0,0,0,0,0,0,0,-1.0,0.6666666666666666,-1.3333333333333333,-1.3333333333333333
30,05/09/00,Man United,Bradford,6,0,5,2,3,1,1.25,1.0,4.0,5,4,0,0,0,0,0,0,0,0,0.5,0.25,0.25,0.25
44,09/09/00,Man United,Sunderland,3,0,11,4,3,6,1.6,0.8,5.0,8,4,0,0,0,0,0,0,0,0,1.6,-0.4,0.8,0.8
52,16/09/00,Everton,Man United,1,3,9,14,8,3,1.1666666666666667,1.8333333333333333,6.0,7,11,0,0,0,0,0,0,0,0,0.1666666666666666,1.8333333333333333,-0.6666666666666666,-0.6666666666666666
64,23/09/00,Man United,Chelsea,3,3,17,7,4,9,2.0,0.8571428571428571,7.0,11,3,0,0,0,0,0,0,0,0,1.8571428571428568,-0.2857142857142857,1.1428571428571428,1.1428571428571428
76,01/10/00,Arsenal,Man United,1,0,13,20,9,7,1.5,1.875,8.0,9,11,0,0,0,0,0,0,0,0,0.5,1.625,-0.375,-0.25
84,14/10/00,Leicester,Man United,0,3,7,20,2,8,1.7777777777777777,1.6666666666666667,9.0,11,10,1,0,0,0,1,0,0,0,0.5555555555555556,1.3333333333333333,0.1111111111111111,0.1111111111111111
93,21/10/00,Man United,Leeds,3,0,23,14,8,13,1.8,1.4,10.0,10,7,0,0,0,0,0,0,0,0,1.5,0.1,0.4,0.3
104,28/10/00,Man United,Southampton,5,0,26,12,8,15,1.9090909090909087,0.9090909090909092,11.0,10,7,0,0,0,0,0,0,0,0,1.6363636363636365,-0.2727272727272727,1.0,0.2727272727272727
110,04/11/00,Coventry,Man United,1,2,11,31,22,8,0.9166666666666666,2.0,12.0,4,10,0,0,0,0,0,0,0,0,-0.9166666666666666,1.9166666666666667,-1.0833333333333333,-0.5
124,11/11/00,Man United,Middlesbrough,2,1,33,16,9,19,2.076923076923077,0.7692307692307693,13.0,12,3,0,0,0,0,0,0,0,0,1.8461538461538465,-0.2307692307692307,1.3076923076923077,0.6923076923076923
133,18/11/00,Man City,Man United,0,1,15,35,24,10,1.0,2.142857142857143,14.0,6,15,0,0,0,0,1,1,0,0,-0.6428571428571429,1.7857142857142858,-1.1428571428571428,-0.6428571428571429
141,25/11/00,Derby,Man United,0,3,18,36,28,10,0.6666666666666666,2.2,15.0,5,15,0,0,0,0,1,1,0,0,-0.6666666666666666,1.7333333333333334,-1.5333333333333334,-0.6666666666666666
155,02/12/00,Man United,Tottenham,2,0,39,22,10,21,2.25,1.4375,16.0,15,9,1,1,0,0,0,0,0,0,1.8125,0.0625,0.8125,0.375
161,09/12/00,Charlton,Man United,3,3,21,41,24,10,1.2352941176470589,2.294117647058824,17.0,6,15,0,0,0,0,1,1,0,0,-0.1764705882352941,1.8235294117647056,-1.0588235294117647,-0.5294117647058824
177,17/12/00,Man United,Liverpool,0,1,44,32,13,24,2.2222222222222223,1.5,18.0,13,6,1,0,0,0,0,0,0,0,1.7222222222222223,0.4444444444444444,0.7222222222222222,0.3888888888888889
186,23/12/00,Man United,Ipswich,2,0,44,27,14,18,2.1052631578947367,1.736842105263158,19.0,10,12,1,0,0,0,0,0,0,0,1.5789473684210529,0.4736842105263157,0.3684210526315789,-0.1052631578947368
190,26/12/00,Aston Villa,Man United,0,1,23,46,18,14,1.45,2.15,20.0,6,10,0,0,0,0,0,0,0,0,0.25,1.6,-0.7,-0.2
203,30/12/00,Newcastle,Man United,1,1,22,47,25,14,1.4285714285714286,2.1904761904761907,21.0,7,10,0,0,0,0,0,0,0,0,-0.1428571428571428,1.5714285714285714,-0.7619047619047619,-0.1428571428571428
212,01/01/01,Man United,West Ham,3,1,48,31,15,24,2.136363636363636,1.318181818181818,22.0,8,5,0,0,0,0,0,0,0,0,1.5,0.3181818181818182,0.8181818181818182,0.1363636363636363
217,13/01/01,Bradford,Man United,0,3,16,48,38,15,0.6818181818181818,2.136363636363636,22.0,4,8,0,0,0,0,0,0,0,0,-1.0,1.5,-1.4545454545454546,-0.1818181818181818
231,20/01/01,Man United,Aston Villa,2,0,54,24,16,26,2.208333333333333,1.2083333333333333,24.0,13,0,0,0,0,0,0,0,1,1,1.5833333333333333,-0.0833333333333333,1.0,0.5416666666666666
243,31/01/01,Sunderland,Man United,0,1,31,56,22,16,1.72,2.24,25.0,11,13,0,0,0,0,0,0,0,0,0.36,1.6,-0.52,-0.08
251,03/02/01,Man United,Everton,1,0,57,26,16,37,2.269230769230769,1.0384615384615383,26.0,13,5,0,0,0,0,0,0,0,0,1.5769230769230769,-0.4230769230769231,1.2307692307692308,0.3076923076923077
257,10/02/01,Chelsea,Man United,1,1,47,57,32,16,1.4230769230769231,2.269230769230769,26.0,10,13,0,0,0,0,0,0,0,0,0.5769230769230769,1.5769230769230769,-0.8461538461538461,-0.1153846153846153
273,25/02/01,Man United,Arsenal,6,1,59,43,17,23,2.25,1.7857142857142858,28.0,13,11,1,0,0,0,0,0,0,0,1.5,0.7142857142857143,0.4642857142857143,0.0714285714285714
278,03/03/01,Leeds,Man United,1,1,39,59,35,17,1.4285714285714286,2.25,28.0,11,13,1,0,0,0,1,0,0,0,0.1428571428571428,1.5,-0.8214285714285714,-0.0714285714285714
289,17/03/01,Man United,Leicester,2,0,65,31,18,29,2.2758620689655173,1.5517241379310345,29.0,13,9,1,0,0,0,0,0,0,0,1.6206896551724137,0.0689655172413793,0.7241379310344828,0.1379310344827586
300,31/03/01,Liverpool,Man United,2,0,51,68,32,19,1.6129032258064515,2.2580645161290325,31.0,6,11,0,0,0,0,0,0,0,0,0.6129032258064516,1.5806451612903225,-0.6451612903225806,-0.1612903225806451
314,10/04/01,Man United,Charlton,2,1,68,41,21,42,2.1875,1.40625,32.0,8,8,0,0,0,0,0,0,0,0,1.46875,-0.03125,0.78125,0.0
324,14/04/01,Man United,Coventry,4,2,70,31,22,52,2.212121212121212,0.9090909090909092,33.0,10,8,0,0,0,0,0,0,0,0,1.4545454545454546,-0.6363636363636364,1.303030303030303,0.0606060606060606
340,21/04/01,Man United,Man City,1,1,75,37,25,60,2.2,0.8571428571428571,35.0,10,4,0,0,0,0,0,0,0,0,1.4285714285714286,-0.6571428571428571,1.3428571428571427,0.1714285714285714
349,28/04/01,Middlesbrough,Man United,0,2,38,75,40,25,1.0,2.2,35.0,7,10,0,0,0,0,0,0,0,0,-0.0571428571428571,1.4285714285714286,-1.2,-0.0857142857142857
362,05/05/01,Man United,Derby,0,1,77,35,26,58,2.1621621621621623,1.027027027027027,37.0,10,3,0,0,0,0,0,0,0,0,1.3783783783783785,-0.6216216216216216,1.135135135135135,0.1891891891891892
368,13/05/01,Southampton,Man United,2,1,35,77,45,26,1.2432432432432432,2.1621621621621623,37.0,2,10,0,0,0,0,0,0,0,0,-0.2702702702702703,1.3783783783783785,-0.918918918918919,-0.2162162162162162
379,19/05/01,Tottenham,Man United,3,1,44,78,53,28,1.2105263157894737,2.1052631578947367,38.0,4,7,0,0,0,0,0,0,0,0,-0.2368421052631578,1.3157894736842106,-0.8947368421052632,-0.0789473684210526
389,19/08/01,Man United,Fulham,3,2,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
394,22/08/01,Blackburn,Man United,2,2,1,3,2,2,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-0.5,0.5,-1.5,-1.5
403,26/08/01,Aston Villa,Man United,1,1,1,5,1,4,0.6666666666666666,1.3333333333333333,3.0,2,4,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,-0.6666666666666666,-0.6666666666666666
411,08/09/01,Man United,Everton,4,1,6,5,5,2,1.25,1.75,4.0,5,7,0,0,0,0,0,0,0,0,0.25,0.75,-0.5,-0.5
421,15/09/01,Newcastle,Man United,4,3,10,10,6,6,1.6,1.6,5.0,8,8,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.0
433,22/09/01,Man United,Ipswich,4,0,13,5,10,5,1.3333333333333333,0.8333333333333334,6.0,8,5,0,0,0,0,0,0,0,0,0.5,0.0,0.5,0.5
445,29/09/01,Tottenham,Man United,3,5,8,17,7,10,1.1428571428571428,1.5714285714285714,7.0,7,8,0,0,0,0,0,0,0,0,0.1428571428571428,1.0,-0.4285714285714285,-0.1428571428571428
