Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
2,19/08/00,Coventry,Middlesbrough,1,3,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13,22/08/00,Middlesbrough,Tottenham,1,1,3,3,1,1,1.5,1.5,2.0,3,3,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0
24,26/08/00,Middlesbrough,Leeds,1,2,4,4,2,1,1.3333333333333333,2.0,3.0,4,6,0,0,0,0,0,0,0,0,0.6666666666666666,1.0,-0.6666666666666666,-0.6666666666666666
36,06/09/00,Derby,Middlesbrough,3,3,6,5,7,4,0.5,1.0,4.0,2,4,0,0,0,0,0,0,0,0,-0.25,0.25,-0.5,-0.5
45,09/09/00,Middlesbrough,Everton,1,2,8,7,7,7,1.0,0.8,5.0,5,4,0,0,0,0,0,0,0,0,0.2,0.0,0.2,0.2
57,17/09/00,Man City,Middlesbrough,1,1,9,9,12,9,1.0,0.8333333333333334,6.0,6,5,0,0,0,0,0,0,0,0,-0.5,0.0,0.1666666666666666,0.1666666666666666
65,23/09/00,Middlesbrough,Aston Villa,1,1,10,7,10,6,0.8571428571428571,1.2857142857142858,7.0,3,8,0,0,0,0,0,0,0,0,0.0,0.1428571428571428,-0.4285714285714285,-0.7142857142857143
74,30/09/00,Southampton,Middlesbrough,1,3,10,11,9,11,1.125,0.875,8.0,8,3,0,0,0,0,0,0,0,0,0.125,0.0,0.25,0.625
88,16/10/00,Middlesbrough,Newcastle,1,3,14,8,12,7,1.1111111111111112,1.4444444444444444,9.0,6,7,0,0,0,0,0,0,0,0,0.2222222222222222,0.1111111111111111,-0.3333333333333333,-0.1111111111111111
90,21/10/00,Charlton,Middlesbrough,1,0,15,15,16,15,1.2,1.0,10.0,8,5,0,0,0,0,0,0,0,0,-0.1,0.0,0.2,0.3
102,28/10/00,Ipswich,Middlesbrough,2,1,14,15,11,16,1.3636363636363635,0.9090909090909092,11.0,11,5,0,0,0,0,0,0,0,0,0.2727272727272727,-0.0909090909090909,0.4545454545454545,0.5454545454545454
113,04/11/00,Middlesbrough,Arsenal,0,1,16,22,18,10,0.8333333333333334,2.0,12.0,4,13,0,0,0,0,0,0,0,0,-0.1666666666666666,1.0,-1.1666666666666667,-0.75
124,11/11/00,Man United,Middlesbrough,2,1,33,16,9,19,2.076923076923077,0.7692307692307693,13.0,12,3,0,0,0,0,0,0,0,0,1.8461538461538465,-0.2307692307692307,1.3076923076923077,0.6923076923076923
134,18/11/00,Middlesbrough,Leicester,0,3,17,11,21,8,0.7142857142857143,1.6428571428571428,14.0,0,7,0,0,1,1,0,0,0,0,-0.2857142857142857,0.2142857142857142,-0.9285714285714286,-0.5
144,25/11/00,Middlesbrough,Bradford,2,2,17,5,24,22,0.6666666666666666,0.4666666666666667,15.0,0,1,0,0,1,1,0,0,0,0,-0.4666666666666667,-1.1333333333333333,0.2,-0.0666666666666666
156,02/12/00,West Ham,Middlesbrough,1,0,21,19,17,26,1.3125,0.6875,16.0,13,1,0,0,0,0,0,0,1,0,0.25,-0.4375,0.625,0.75
165,09/12/00,Sunderland,Middlesbrough,1,0,17,19,16,27,1.5294117647058822,0.6470588235294118,17.0,10,1,0,0,0,0,0,0,1,0,0.0588235294117647,-0.4705882352941176,0.8823529411764706,0.5294117647058824
175,16/12/00,Middlesbrough,Chelsea,1,0,19,32,28,24,0.6111111111111112,1.2777777777777777,18.0,1,7,0,0,0,0,0,0,0,0,-0.5,0.4444444444444444,-0.6666666666666666,-0.3333333333333333
188,23/12/00,Tottenham,Middlesbrough,0,0,26,20,27,28,1.3157894736842106,0.7368421052631579,19.0,8,4,0,0,0,0,0,0,0,0,-0.0526315789473684,-0.4210526315789473,0.5789473684210527,0.2105263157894736
195,26/12/00,Middlesbrough,Liverpool,1,0,20,37,28,24,0.75,1.65,20.0,5,9,0,0,0,0,0,0,0,0,-0.4,0.65,-0.9,-0.2
202,30/12/00,Middlesbrough,Coventry,1,1,21,19,28,35,0.8571428571428571,0.9047619047619048,21.0,7,7,0,0,0,0,0,0,0,0,-0.3333333333333333,-0.7619047619047619,-0.0476190476190476,0.0
209,01/01/01,Leeds,Middlesbrough,1,1,27,21,28,28,1.238095238095238,0.8571428571428571,21.0,4,7,0,0,0,0,0,0,0,0,-0.0476190476190476,-0.3333333333333333,0.3809523809523809,-0.1428571428571428
220,13/01/01,Middlesbrough,Derby,4,0,23,24,30,36,0.8695652173913043,1.0,23.0,9,10,0,0,0,0,0,0,0,0,-0.3043478260869565,-0.5217391304347826,-0.1304347826086956,-0.0434782608695652
230,20/01/01,Liverpool,Middlesbrough,0,0,42,27,26,30,1.6666666666666667,0.9583333333333334,24.0,10,9,0,0,0,0,0,0,0,0,0.6666666666666666,-0.125,0.7083333333333334,0.0416666666666666
239,31/01/01,Everton,Middlesbrough,2,2,24,27,34,30,1.0833333333333333,0.9583333333333334,24.0,4,9,0,0,1,0,0,0,0,0,-0.4166666666666667,-0.125,0.125,-0.2083333333333333
252,03/02/01,Middlesbrough,Man City,1,1,29,29,32,44,0.9615384615384616,0.8461538461538461,26.0,7,3,0,0,0,0,0,0,0,0,-0.1153846153846153,-0.5769230769230769,0.1153846153846153,0.1538461538461538
256,10/02/01,Aston Villa,Middlesbrough,1,1,28,29,27,32,1.2692307692307692,0.9615384615384616,26.0,4,7,0,0,1,0,0,0,0,0,0.0384615384615384,-0.1153846153846153,0.3076923076923077,-0.1153846153846153
270,24/02/01,Middlesbrough,Southampton,0,1,31,32,34,34,0.9642857142857144,1.3571428571428572,28.0,7,11,0,0,0,0,0,0,0,0,-0.1071428571428571,-0.0714285714285714,-0.3928571428571428,-0.1428571428571428
281,03/03/01,Middlesbrough,Charlton,0,0,31,38,35,40,0.9310344827586208,1.4137931034482758,29.0,4,9,0,0,0,0,0,0,0,0,-0.1379310344827586,-0.0689655172413793,-0.4827586206896552,-0.1724137931034483
290,17/03/01,Newcastle,Middlesbrough,1,2,34,31,41,35,1.2666666666666666,0.9333333333333332,30.0,1,4,0,0,1,0,0,0,0,0,-0.2333333333333333,-0.1333333333333333,0.3333333333333333,-0.1
298,31/03/01,Chelsea,Middlesbrough,2,1,52,31,37,35,1.4,0.9333333333333332,30.0,5,4,0,0,0,0,0,0,0,0,0.5,-0.1333333333333333,0.4666666666666667,0.0333333333333333
