Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
1525,14/08/04,Norwich,Crystal Palace,1,1,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1535,21/08/04,Man United,Norwich,2,1,0,1,1,1,0.0,0.5,2.0,0,1,0,0,0,0,0,0,0,0,-0.5,0.0,-0.5,-0.5
1545,25/08/04,Newcastle,Norwich,2,2,2,2,3,3,0.3333333333333333,0.3333333333333333,3.0,1,1,0,0,0,0,0,0,0,0,-0.3333333333333333,-0.3333333333333333,0.0,0.0
1554,28/08/04,Norwich,Arsenal,1,4,4,12,5,4,0.5,2.25,4.0,2,9,0,0,0,0,0,0,0,0,-0.25,2.0,-1.75,-1.75
1567,12/09/04,Tottenham,Norwich,0,0,4,5,2,9,1.6,0.4,5.0,8,2,0,0,0,0,0,0,0,0,0.4,-0.8,1.2,1.2
1573,18/09/04,Norwich,Aston Villa,0,0,5,7,9,6,0.5,1.3333333333333333,6.0,3,8,0,0,0,0,0,0,0,0,-0.6666666666666666,0.1666666666666666,-0.8333333333333334,-0.8333333333333334
1582,25/09/04,Liverpool,Norwich,3,0,10,5,5,9,1.4285714285714286,0.5714285714285714,7.0,9,3,0,0,0,0,0,0,0,0,0.7142857142857143,-0.5714285714285714,0.8571428571428571,0.8571428571428571
1592,02/10/04,Norwich,Portsmouth,2,2,5,11,12,11,0.5,1.0,8.0,3,7,0,0,0,0,0,0,0,0,-0.875,0.0,-0.5,-0.5
1606,16/10/04,West Brom,Norwich,0,0,8,7,13,14,0.7777777777777778,0.5555555555555556,9.0,4,3,0,0,0,0,0,0,0,0,-0.5555555555555556,-0.7777777777777778,0.2222222222222222,0.1111111111111111
1613,23/10/04,Norwich,Everton,2,3,7,10,14,7,0.6,1.9,10.0,4,12,0,0,0,0,1,0,0,0,-0.7,0.3,-1.3,-0.8
1628,01/11/04,Man City,Norwich,1,1,12,9,11,17,1.0,0.5454545454545454,11.0,7,3,0,0,0,0,0,0,0,0,0.0909090909090909,-0.7272727272727273,0.4545454545454545,0.3636363636363636
1633,06/11/04,Norwich,Blackburn,1,1,10,9,18,24,0.5833333333333334,0.5833333333333334,12.0,3,2,0,0,0,0,0,0,0,0,-0.6666666666666666,-1.25,0.0,0.0833333333333333
1641,13/11/04,Charlton,Norwich,4,0,13,11,21,19,1.1538461538461535,0.6153846153846154,13.0,4,4,0,0,0,0,0,0,0,0,-0.6153846153846154,-0.6153846153846154,0.5384615384615384,0.0
1655,20/11/04,Norwich,Southampton,2,1,11,12,23,17,0.5714285714285714,0.7857142857142857,14.0,3,6,0,0,0,0,0,0,0,0,-0.8571428571428571,-0.3571428571428571,-0.2142857142857142,-0.2142857142857142
1659,27/11/04,Birmingham,Norwich,1,1,8,11,11,23,0.8571428571428571,0.5714285714285714,14.0,5,3,0,0,0,0,0,0,0,0,-0.2142857142857142,-0.8571428571428571,0.2857142857142857,0.1428571428571428
1675,04/12/04,Norwich,Fulham,0,1,14,17,25,27,0.75,0.875,16.0,6,6,0,0,0,0,0,0,0,0,-0.6875,-0.625,-0.125,0.0
1683,11/12/04,Norwich,Bolton,3,2,14,24,26,22,0.7058823529411765,1.3529411764705883,17.0,5,2,0,0,0,0,0,0,0,0,-0.7058823529411765,0.1176470588235294,-0.6470588235294118,0.1764705882352941
1693,18/12/04,Chelsea,Norwich,4,0,33,17,8,28,2.2222222222222223,0.8333333333333334,18.0,11,7,0,0,0,0,0,0,0,0,1.3888888888888888,-0.6111111111111112,1.3888888888888888,0.2222222222222222
