Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
2285,19/08/06,Reading,Middlesbrough,3,2,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2292,23/08/06,Aston Villa,Reading,2,1,1,3,1,2,0.5,1.5,2.0,1,3,0,0,0,0,0,0,0,0,0.0,0.5,-1.0,-1.0
2304,26/08/06,Wigan,Reading,1,0,2,4,2,4,1.0,1.0,3.0,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2317,11/09/06,Reading,Man City,1,0,4,1,5,3,0.75,1.0,4.0,3,4,0,0,0,0,0,0,0,0,-0.25,-0.5,-0.25,-0.25
2321,16/09/06,Sheffield United,Reading,1,2,1,5,4,5,0.4,1.2,5.0,2,6,0,0,0,0,0,0,0,0,-0.6,0.0,-0.8,-0.8
2335,23/09/06,Reading,Man United,1,1,7,11,6,3,1.5,2.0,6.0,9,12,0,0,0,0,1,0,0,0,0.1666666666666666,1.3333333333333333,-0.5,-0.5
2347,01/10/06,West Ham,Reading,0,1,6,8,9,7,0.7142857142857143,1.4285714285714286,7.0,2,7,0,0,0,0,0,0,0,0,-0.4285714285714285,0.1428571428571428,-0.7142857142857143,-0.7142857142857143
2355,14/10/06,Reading,Chelsea,0,1,9,12,7,4,1.625,2.0,8.0,10,13,0,0,0,0,1,0,0,0,0.25,1.0,-0.375,-0.375
2367,22/10/06,Reading,Arsenal,0,4,9,15,8,4,1.4444444444444444,1.8888888888888888,9.0,10,15,0,0,0,0,1,1,0,0,0.1111111111111111,1.2222222222222223,-0.4444444444444444,-0.5555555555555556
2374,28/10/06,Portsmouth,Reading,3,1,13,9,5,12,1.6,1.3,10.0,6,7,0,0,0,0,0,0,0,0,0.8,-0.3,0.3,-0.1
2382,04/11/06,Liverpool,Reading,2,0,12,10,12,15,1.2727272727272727,1.181818181818182,11.0,7,4,0,0,0,0,0,0,0,0,0.0,-0.4545454545454545,0.0909090909090909,0.2727272727272727
