Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
3,19/08/00,Derby,Southampton,2,2,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
17,23/08/00,Southampton,Coventry,1,2,2,1,2,3,0.5,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0.0,-1.0,0.5,0.5
26,26/08/00,Southampton,Liverpool,3,3,3,1,4,2,0.3333333333333333,1.0,3.0,1,3,0,0,0,0,0,0,0,0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666
33,06/09/00,Charlton,Southampton,1,1,7,6,8,7,0.75,0.5,4.0,3,2,0,0,0,0,0,0,0,0,-0.25,-0.25,0.25,0.25
42,09/09/00,Leicester,Southampton,1,0,3,7,1,8,1.6,0.6,5.0,8,3,0,0,0,0,0,0,0,0,0.4,-0.2,1.0,1.0
54,16/09/00,Southampton,Newcastle,2,0,7,7,9,4,0.5,1.6666666666666667,6.0,3,10,0,0,0,0,0,0,0,0,-0.3333333333333333,0.5,-1.1666666666666667,-1.1666666666666667
59,23/09/00,Bradford,Southampton,0,1,3,7,8,9,0.8333333333333334,0.5,6.0,5,3,0,0,0,0,0,0,0,0,-0.8333333333333334,-0.3333333333333333,0.3333333333333333,0.3333333333333333
74,30/09/00,Southampton,Middlesbrough,1,3,10,11,9,11,1.125,0.875,8.0,8,3,0,0,0,0,0,0,0,0,0.125,0.0,0.25,0.625
81,14/10/00,Everton,Southampton,1,1,11,11,15,12,0.8888888888888888,1.0,9.0,4,7,0,0,0,0,0,0,0,0,-0.4444444444444444,-0.1111111111111111,-0.1111111111111111,-0.3333333333333333
98,23/10/00,Southampton,Man City,0,2,12,12,13,14,1.0,1.1,10.0,7,5,0,0,0,0,0,0,0,0,-0.1,-0.2,-0.1,0.2
