Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
3041,16/08/08,Bolton,Stoke,3,1,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3054,23/08/08,Stoke,Aston Villa,3,2,1,4,3,2,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-1.0,1.0,-1.5,-1.5
3064,30/08/08,Middlesbrough,Stoke,2,1,3,4,3,5,1.0,1.0,3.0,3,3,0,0,0,0,0,0,0,0,0.0,-0.3333333333333333,0.0,0.0
3077,14/09/08,Stoke,Everton,2,3,5,4,7,7,0.75,0.75,4.0,3,3,0,0,0,0,0,0,0,0,-0.5,-0.75,0.0,0.0
3081,20/09/08,Liverpool,Stoke,0,0,5,7,2,10,2.0,0.6,5.0,10,3,0,0,0,0,0,0,0,0,0.6,-0.6,1.4,1.4
3096,27/09/08,Stoke,Chelsea,0,2,7,10,10,3,0.6666666666666666,1.8333333333333333,6.0,4,11,0,0,0,0,0,0,0,0,-0.5,1.1666666666666667,-1.1666666666666667,-1.1666666666666667
3106,05/10/08,Portsmouth,Stoke,2,1,7,7,12,12,1.2857142857142858,0.5714285714285714,7.0,9,4,0,0,0,0,0,0,0,0,-0.7142857142857143,-0.7142857142857143,0.7142857142857143,0.7142857142857143
3117,19/10/08,Stoke,Tottenham,2,1,8,4,14,10,0.5,0.25,8.0,1,2,0,0,0,0,0,0,0,0,-0.75,-0.75,0.25,-0.125
3124,26/10/08,Man City,Stoke,3,0,20,10,14,15,1.1111111111111112,0.7777777777777778,9.0,4,4,0,0,0,0,0,0,0,0,0.6666666666666666,-0.5555555555555556,0.3333333333333333,0.0
3138,29/10/08,Stoke,Sunderland,1,0,10,9,18,10,0.7,1.2,10.0,4,8,0,0,0,0,0,0,0,0,-0.8,-0.1,-0.5,-0.4
3144,01/11/08,Stoke,Arsenal,2,1,11,22,18,10,0.9090909090909092,1.818181818181818,11.0,6,8,0,0,0,0,0,0,0,0,-0.6363636363636364,1.0909090909090908,-0.9090909090909092,-0.1818181818181818
3154,08/11/08,Wigan,Stoke,0,0,13,13,16,19,0.9166666666666666,1.0833333333333333,12.0,3,9,0,0,1,0,0,0,0,0,-0.25,-0.5,-0.1666666666666666,-0.5
3163,15/11/08,Man United,Stoke,5,0,25,13,10,19,1.8461538461538465,1.0769230769230769,13.0,10,10,0,0,0,0,0,0,0,0,1.1538461538461535,-0.4615384615384615,0.7692307692307693,0.0
3175,22/11/08,Stoke,West Brom,1,0,13,10,24,24,1.0,0.7857142857142857,14.0,7,1,0,0,0,0,0,0,0,0,-0.7857142857142857,-1.0,0.2142857142857142,0.4285714285714285
3181,29/11/08,Stoke,Hull,1,1,14,21,24,23,1.1333333333333333,1.4666666666666666,15.0,10,2,0,0,0,0,0,0,1,0,-0.6666666666666666,-0.1333333333333333,-0.3333333333333333,0.5333333333333333
3195,06/12/08,Newcastle,Stoke,2,2,17,15,22,25,0.9375,1.125,16.0,6,8,0,0,0,0,0,0,0,0,-0.3125,-0.625,-0.1875,-0.125
3203,13/12/08,Stoke,Fulham,0,0,17,13,27,12,1.1176470588235294,1.2352941176470589,17.0,6,7,0,0,0,0,0,0,0,0,-0.5882352941176471,0.0588235294117647,-0.1176470588235294,-0.0588235294117647
3209,20/12/08,Blackburn,Stoke,3,0,17,17,31,27,0.7647058823529411,1.1176470588235294,17.0,0,6,0,0,1,1,0,0,0,0,-0.8235294117647058,-0.5882352941176471,-0.3529411764705882,-0.3529411764705882
3224,26/12/08,Stoke,Man United,0,1,17,29,30,10,1.0526315789473684,2.0,19.0,6,13,0,0,0,0,0,0,0,0,-0.6842105263157895,1.0,-0.9473684210526316,-0.3684210526315789
3235,28/12/08,West Ham,Stoke,2,1,22,17,27,31,1.1,1.0,20.0,5,3,0,0,0,0,0,0,0,0,-0.25,-0.7,0.1,0.1
3243,10/01/09,Stoke,Liverpool,0,0,18,35,33,13,0.9523809523809524,2.142857142857143,21.0,2,11,0,0,0,0,0,0,0,0,-0.7142857142857143,1.0476190476190477,-1.1904761904761905,-0.4285714285714285
3249,17/01/09,Chelsea,Stoke,2,1,40,18,9,33,2.0,0.9523809523809524,21.0,9,2,0,0,0,0,0,0,0,0,1.4761904761904765,-0.7142857142857143,1.0476190476190477,0.3333333333333333
3259,27/01/09,Tottenham,Stoke,3,1,20,18,26,33,0.9090909090909092,0.9545454545454546,22.0,2,2,0,0,0,0,0,0,0,0,-0.2727272727272727,-0.6818181818181818,-0.0454545454545454,0.0
3274,31/01/09,Stoke,Man City,1,0,20,41,38,32,0.875,1.1666666666666667,24.0,1,10,0,0,0,0,0,0,0,0,-0.75,0.375,-0.2916666666666667,-0.375
3282,07/02/09,Sunderland,Stoke,2,0,25,21,33,38,1.08,0.96,25.0,5,4,0,0,0,0,0,0,0,0,-0.32,-0.68,0.12,0.04
3294,21/02/09,Stoke,Portsmouth,2,2,21,27,40,41,0.9230769230769232,1.0384615384615383,26.0,4,4,0,0,0,0,0,0,0,0,-0.7307692307692307,-0.5384615384615384,-0.1153846153846153,0.0
3303,01/03/09,Aston Villa,Stoke,2,2,40,23,25,42,1.8888888888888888,0.925925925925926,27.0,10,4,0,0,0,0,0,0,0,0,0.5555555555555556,-0.7037037037037037,0.9629629629629628,0.2222222222222222
3314,04/03/09,Stoke,Bolton,2,0,25,30,44,38,0.9285714285714286,1.1785714285714286,28.0,5,10,0,0,0,0,0,0,0,0,-0.6785714285714286,-0.2857142857142857,-0.25,-0.1785714285714285
3321,14/03/09,Everton,Stoke,3,1,36,27,28,44,1.5517241379310345,1.0,29.0,8,8,0,0,0,0,0,0,0,0,0.2758620689655172,-0.5862068965517241,0.5517241379310345,0.0
3333,21/03/09,Stoke,Middlesbrough,1,0,28,21,47,41,0.9666666666666668,0.9,30.0,5,5,0,0,0,0,0,0,0,0,-0.6333333333333333,-0.6666666666666666,0.0666666666666666,0.0
3345,04/04/09,West Brom,Stoke,0,2,26,29,55,47,0.7741935483870968,1.032258064516129,31.0,2,8,0,0,1,0,0,0,0,0,-0.935483870967742,-0.5806451612903226,-0.2580645161290322,-0.1935483870967742
3353,11/04/09,Stoke,Newcastle,1,1,31,36,47,51,1.09375,0.90625,32.0,10,1,0,0,0,0,0,0,0,0,-0.5,-0.46875,0.1875,0.28125
