Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
7,19/08/00,Sunderland,Arsenal,1,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15,23/08/00,Man City,Sunderland,4,2,0,1,4,0,0.0,1.5,2.0,0,3,0,0,0,0,0,0,0,0,-2.0,0.5,-1.5,-1.5
22,26/08/00,Ipswich,Sunderland,1,0,2,3,4,4,0.3333333333333333,1.0,3.0,1,3,0,0,0,0,0,0,0,0,-0.6666666666666666,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666
31,05/09/00,Sunderland,West Ham,1,1,3,4,5,7,0.75,0.25,4.0,3,1,0,0,0,0,0,0,0,0,-0.5,-0.75,0.5,0.5
44,09/09/00,Man United,Sunderland,3,0,11,4,3,6,1.6,0.8,5.0,8,4,0,0,0,0,0,0,0,0,1.6,-0.4,0.8,0.8
55,16/09/00,Sunderland,Derby,2,1,4,11,9,12,0.6666666666666666,0.6666666666666666,6.0,4,4,0,0,0,0,0,0,0,0,-0.8333333333333334,-0.1666666666666666,0.0,0.0
63,23/09/00,Liverpool,Sunderland,1,1,11,6,9,10,1.5714285714285714,1.0,7.0,8,4,0,0,0,0,0,0,0,0,0.2857142857142857,-0.5714285714285714,0.5714285714285714,0.5714285714285714
78,01/10/00,Sunderland,Leicester,0,0,7,7,11,2,1.0,1.875,8.0,5,11,0,0,0,0,0,0,0,0,-0.5,0.625,-0.875,-0.75
86,14/10/00,Sunderland,Chelsea,1,0,7,13,11,12,1.0,1.1111111111111112,9.0,6,6,0,0,0,0,0,0,0,0,-0.4444444444444444,0.1111111111111111,-0.1111111111111111,0.0
97,22/10/00,Aston Villa,Sunderland,0,0,11,8,8,11,1.3,1.2,10.0,8,8,0,0,0,0,0,0,0,0,0.3,-0.3,0.1,0.0
105,28/10/00,Sunderland,Coventry,1,0,8,11,11,21,1.181818181818182,1.0,11.0,9,4,0,0,0,0,0,0,0,0,-0.2727272727272727,-0.9090909090909092,0.1818181818181818,0.4545454545454545
116,04/11/00,Tottenham,Sunderland,2,1,15,9,17,11,1.1666666666666667,1.3333333333333333,12.0,4,9,0,0,0,0,0,0,0,0,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.4166666666666667
125,11/11/00,Sunderland,Southampton,2,2,10,15,13,22,1.2307692307692308,1.0,13.0,8,4,0,0,0,0,0,0,0,0,-0.2307692307692307,-0.5384615384615384,0.2307692307692307,0.3076923076923077
135,18/11/00,Newcastle,Sunderland,1,2,14,12,12,15,1.4285714285714286,1.2142857142857142,14.0,7,8,0,0,0,0,0,0,0,0,0.1428571428571428,-0.2142857142857142,0.2142857142857142,-0.0714285714285714
139,25/11/00,Charlton,Sunderland,0,1,19,12,20,15,1.2857142857142858,1.2142857142857142,14.0,6,8,0,0,0,0,0,0,0,0,-0.0714285714285714,-0.2142857142857142,0.0714285714285714,-0.1428571428571428
