Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
4188,15/08/11,Man City,Swansea,4,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4194,20/08/11,Swansea,Wigan,0,0,0,1,4,1,0.0,0.5,2.0,0,1,0,0,0,0,0,0,0,0,-2.0,0.0,-0.5,-0.5
4203,27/08/11,Swansea,Sunderland,0,0,0,1,4,2,0.3333333333333333,0.3333333333333333,3.0,1,1,0,0,0,0,0,0,0,0,-1.3333333333333333,-0.3333333333333333,0.0,0.0
4209,10/09/11,Arsenal,Swansea,1,0,0,0,2,4,0.3333333333333333,0.3333333333333333,3.0,1,1,0,0,0,0,0,0,0,0,-0.6666666666666666,-1.3333333333333333,0.0,0.0
4223,17/09/11,Swansea,West Brom,3,0,0,3,5,5,0.4,0.6,5.0,2,3,0,0,0,0,0,0,0,0,-1.0,-0.4,-0.2,-0.2
4230,24/09/11,Chelsea,Swansea,4,1,8,3,6,5,1.6666666666666667,0.8333333333333334,6.0,10,5,0,0,0,0,0,0,0,0,0.3333333333333333,-0.3333333333333333,0.8333333333333334,0.8333333333333334
4247,02/10/11,Swansea,Stoke,2,0,4,4,9,6,0.7142857142857143,1.2857142857142858,7.0,5,8,0,0,0,0,0,0,0,0,-0.7142857142857143,-0.2857142857142857,-0.5714285714285714,-0.4285714285714285
4252,15/10/11,Norwich,Swansea,3,1,7,6,10,9,1.0,1.0,8.0,6,7,0,0,0,0,0,0,0,0,-0.375,-0.375,0.0,-0.125
4263,22/10/11,Wolves,Swansea,2,2,6,7,12,12,0.7777777777777778,0.8888888888888888,9.0,0,6,0,0,1,1,0,0,0,0,-0.6666666666666666,-0.5555555555555556,-0.1111111111111111,-0.6666666666666666
4274,29/10/11,Swansea,Bolton,3,1,9,12,14,24,0.9,0.6,10.0,7,3,0,0,0,0,0,0,1,0,-0.5,-1.2,0.3,0.4
4282,05/11/11,Liverpool,Swansea,0,0,14,12,10,15,1.6363636363636365,1.0909090909090908,11.0,11,7,0,0,0,0,0,0,0,0,0.3636363636363636,-0.2727272727272727,0.5454545454545454,0.3636363636363636
4294,19/11/11,Swansea,Man United,0,1,12,28,15,12,1.0833333333333333,2.1666666666666665,12.0,8,10,0,0,0,0,0,0,0,0,-0.25,1.3333333333333333,-1.0833333333333333,-0.1666666666666666
4308,27/11/11,Swansea,Aston Villa,0,0,12,16,16,17,1.0,1.1538461538461535,13.0,5,4,0,0,0,0,0,0,0,0,-0.3076923076923077,-0.0769230769230769,-0.1538461538461538,0.0769230769230769
4310,03/12/11,Blackburn,Swansea,4,2,17,12,30,16,0.5,1.0,14.0,2,6,0,0,0,0,0,0,0,0,-0.9285714285714286,-0.2857142857142857,-0.5,-0.2857142857142857
4324,10/12/11,Swansea,Fulham,2,0,14,16,20,16,0.9333333333333332,1.0,15.0,5,8,0,0,0,0,0,0,0,0,-0.4,0.0,-0.0666666666666666,-0.2
4332,17/12/11,Newcastle,Swansea,0,0,21,16,19,20,1.625,1.0625,16.0,4,5,0,0,0,0,0,0,0,0,0.125,-0.25,0.5625,-0.0625
4342,21/12/11,Everton,Swansea,1,0,17,16,19,20,1.1764705882352942,1.0588235294117647,17.0,7,5,0,0,0,0,0,0,0,0,-0.1176470588235294,-0.2352941176470588,0.1176470588235294,0.1176470588235294
4358,27/12/11,Swansea,QPR,1,1,16,17,21,31,1.0,0.8888888888888888,18.0,5,1,0,0,0,0,0,0,0,0,-0.2777777777777778,-0.7777777777777778,0.1111111111111111,0.2222222222222222
4366,31/12/11,Swansea,Tottenham,1,1,17,35,22,20,1.0,2.0526315789473686,19.0,5,8,0,0,0,0,0,0,0,0,-0.2631578947368421,0.7894736842105263,-1.0526315789473684,-0.1578947368421052
4369,02/01/12,Aston Villa,Swansea,0,2,19,17,23,22,1.0526315789473684,1.0,19.0,4,5,0,0,0,0,0,0,0,0,-0.2105263157894736,-0.2631578947368421,0.0526315789473684,-0.0526315789473684
4388,15/01/12,Swansea,Arsenal,3,2,20,36,23,28,1.0952380952380951,1.7142857142857142,21.0,6,7,0,0,0,0,0,0,0,0,-0.1428571428571428,0.3809523809523809,-0.6190476190476191,-0.0476190476190476
4396,21/01/12,Sunderland,Swansea,2,0,27,23,24,25,1.0909090909090908,1.181818181818182,22.0,10,8,0,0,0,0,0,0,0,0,0.1363636363636363,-0.0909090909090909,-0.0909090909090909,0.0909090909090909
4402,31/01/12,Swansea,Chelsea,1,1,23,40,27,25,1.1304347826086956,1.7826086956521738,23.0,8,8,0,0,0,0,0,0,0,0,-0.1739130434782608,0.6521739130434783,-0.6521739130434783,0.0
4415,04/02/12,West Brom,Swansea,1,2,23,24,32,28,1.0833333333333333,1.125,24.0,4,8,0,0,1,0,0,0,0,0,-0.375,-0.1666666666666666,-0.0416666666666666,-0.1666666666666666
4426,11/02/12,Swansea,Norwich,2,3,26,34,29,39,1.2,1.28,25.0,10,10,0,0,0,0,0,0,0,0,-0.12,-0.2,-0.08,0.0
4438,26/02/12,Stoke,Swansea,2,0,24,28,38,32,1.1538461538461535,1.1538461538461535,26.0,1,7,0,0,0,0,0,0,0,0,-0.5384615384615384,-0.1538461538461538,0.0,-0.2307692307692307
4445,03/03/12,Wigan,Swansea,0,2,23,28,50,34,0.7407407407407407,1.1111111111111112,27.0,5,4,0,0,0,0,0,0,0,0,-1.0,-0.2222222222222222,-0.3703703703703703,0.037037037037037
4457,11/03/12,Swansea,Man City,1,0,30,69,34,19,1.1785714285714286,2.357142857142857,28.0,7,12,0,0,0,0,0,0,0,0,-0.1428571428571428,1.7857142857142858,-1.1785714285714286,-0.1785714285714285
4460,17/03/12,Fulham,Swansea,0,3,37,31,37,34,1.2413793103448276,1.2413793103448276,29.0,9,9,0,0,0,0,0,0,0,0,0.0,-0.1034482758620689,0.0,0.0
4476,24/03/12,Swansea,Everton,0,2,34,28,34,32,1.3,1.2333333333333334,30.0,9,7,0,0,0,0,0,0,0,0,0.0,-0.1333333333333333,0.0666666666666666,0.0666666666666666
4487,01/04/12,Tottenham,Swansea,3,1,53,34,35,36,1.7741935483870968,1.2580645161290325,31.0,2,9,0,0,1,0,0,0,0,0,0.5806451612903226,-0.064516129032258,0.5161290322580645,-0.2258064516129032
4489,06/04/12,Swansea,Newcastle,0,2,34,44,36,42,1.2580645161290325,1.6129032258064515,31.0,9,8,0,0,0,0,0,0,0,0,-0.064516129032258,0.064516129032258,-0.3548387096774194,0.032258064516129
4506,11/04/12,QPR,Swansea,3,0,35,35,56,41,0.8484848484848485,1.181818181818182,33.0,6,6,0,0,0,0,0,0,0,0,-0.6363636363636364,-0.1818181818181818,-0.3333333333333333,0.0
4511,14/04/12,Swansea,Blackburn,3,0,35,45,44,70,1.1470588235294117,0.8235294117647058,34.0,3,3,0,0,0,0,0,0,0,0,-0.2647058823529412,-0.7352941176470589,0.3235294117647059,0.0
4518,21/04/12,Bolton,Swansea,1,1,37,35,66,44,0.8823529411764706,1.1470588235294117,34.0,7,3,0,0,0,0,0,0,0,0,-0.8529411764705882,-0.2647058823529412,-0.2647058823529412,0.1176470588235294
4530,28/04/12,Swansea,Wolves,4,4,39,34,45,75,1.1944444444444444,0.6388888888888888,36.0,4,1,0,0,1,0,0,0,1,0,-0.1666666666666666,-1.1388888888888888,0.5555555555555556,0.0833333333333333
4544,06/05/12,Man United,Swansea,2,0,86,43,33,49,2.2432432432432434,1.1891891891891893,37.0,7,5,0,0,0,0,0,0,0,0,1.4324324324324325,-0.1621621621621621,1.054054054054054,0.054054054054054
4556,13/05/12,Swansea,Liverpool,1,0,43,47,51,39,1.1578947368421053,1.368421052631579,38.0,5,9,0,0,0,0,0,0,0,0,-0.2105263157894736,0.2105263157894736,-0.2105263157894736,-0.1052631578947368
4563,18/08/12,QPR,Swansea,0,5,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4576,25/08/12,Swansea,West Ham,3,0,5,1,0,0,1.5,1.5,2.0,3,3,0,0,0,0,0,0,0,0,2.5,0.5,0.0,0.0
