Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
8,19/08/00,Tottenham,Ipswich,3,1,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13,22/08/00,Middlesbrough,Tottenham,1,1,3,3,1,1,1.5,1.5,2.0,3,3,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0
25,26/08/00,Newcastle,Tottenham,2,0,3,4,4,2,1.0,1.3333333333333333,3.0,3,4,0,0,0,0,0,0,0,0,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.3333333333333333
32,05/09/00,Tottenham,Everton,3,2,4,5,4,4,1.0,1.0,4.0,4,4,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.0
48,11/09/00,Tottenham,West Ham,1,0,7,5,6,8,1.4,0.4,5.0,7,2,0,0,0,0,0,0,0,0,0.2,-0.6,1.0,1.0
51,16/09/00,Charlton,Tottenham,1,0,10,8,11,6,0.8333333333333334,1.6666666666666667,6.0,5,10,0,0,0,0,0,0,0,0,-0.1666666666666666,0.3333333333333333,-0.8333333333333334,-0.8333333333333334
67,23/09/00,Tottenham,Man City,0,0,8,10,7,13,1.4285714285714286,1.0,7.0,7,7,0,0,0,0,0,0,0,0,0.1428571428571428,-0.4285714285714285,0.4285714285714285,0.0
72,30/09/00,Leeds,Tottenham,4,3,11,8,9,7,1.375,1.375,8.0,5,7,0,0,0,0,0,0,0,0,0.25,0.125,0.0,-0.25
80,14/10/00,Coventry,Tottenham,2,1,8,11,14,11,0.8888888888888888,1.2222222222222223,9.0,2,7,0,0,0,0,0,0,0,0,-0.6666666666666666,0.0,-0.3333333333333333,-0.5555555555555556
95,21/10/00,Tottenham,Derby,3,1,12,14,13,23,1.1,0.5,10.0,4,2,0,0,0,0,0,0,0,0,-0.1,-0.9,0.6,0.2
101,28/10/00,Chelsea,Tottenham,3,0,19,15,14,14,1.181818181818182,1.2727272727272727,11.0,7,4,0,0,0,0,0,0,0,0,0.4545454545454545,0.0909090909090909,-0.0909090909090909,0.2727272727272727
116,04/11/00,Tottenham,Sunderland,2,1,15,9,17,11,1.1666666666666667,1.3333333333333333,12.0,4,9,0,0,0,0,0,0,0,0,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.4166666666666667
