Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
1,19/08/00,Chelsea,West Ham,4,2,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18,23/08/00,West Ham,Leicester,0,1,2,0,4,0,0.0,0.5,2.0,0,1,0,0,0,0,0,0,0,0,-1.0,0.0,-0.5,-0.5
27,26/08/00,West Ham,Man United,2,2,2,3,5,1,0.0,1.3333333333333333,3.0,0,4,0,0,0,0,0,0,0,0,-1.0,0.6666666666666666,-1.3333333333333333,-1.3333333333333333
31,05/09/00,Sunderland,West Ham,1,1,3,4,5,7,0.75,0.25,4.0,3,1,0,0,0,0,0,0,0,0,-0.5,-0.75,0.5,0.5
48,11/09/00,Tottenham,West Ham,1,0,7,5,6,8,1.4,0.4,5.0,7,2,0,0,0,0,0,0,0,0,0.2,-0.6,1.0,1.0
58,17/09/00,West Ham,Liverpool,1,1,5,10,9,8,0.3333333333333333,1.6666666666666667,6.0,2,10,0,0,0,0,0,0,0,0,-0.6666666666666666,0.3333333333333333,-1.3333333333333333,-1.3333333333333333
60,23/09/00,Coventry,West Ham,0,3,6,6,9,10,1.0,0.4285714285714285,7.0,7,3,0,0,0,0,0,0,0,0,-0.4285714285714285,-0.5714285714285714,0.5714285714285714,0.5714285714285714
75,30/09/00,West Ham,Bradford,1,1,9,3,10,11,0.75,0.625,8.0,6,2,0,0,0,0,0,0,0,0,-0.125,-1.0,0.125,0.5
82,14/10/00,Ipswich,West Ham,1,1,11,10,10,11,1.2222222222222223,0.7777777777777778,9.0,7,6,0,0,0,0,0,0,0,0,0.1111111111111111,-0.1111111111111111,0.4444444444444444,0.1111111111111111
96,21/10/00,West Ham,Arsenal,1,2,11,15,12,9,0.8,1.8,10.0,6,11,0,0,0,0,0,0,0,0,-0.1,0.6,-1.0,-0.5
106,28/10/00,West Ham,Newcastle,1,0,12,11,14,9,0.7272727272727273,1.4545454545454546,11.0,6,6,0,0,0,0,0,0,0,0,-0.1818181818181818,0.1818181818181818,-0.7272727272727273,0.0
118,06/11/00,Derby,West Ham,0,0,16,13,28,14,0.4166666666666667,0.9166666666666666,12.0,1,8,0,0,0,0,0,0,0,0,-1.0,-0.0833333333333333,-0.5,-0.5833333333333334
126,11/11/00,West Ham,Man City,4,1,13,14,14,20,0.9230769230769232,1.0769230769230769,13.0,6,6,0,0,0,0,0,0,0,0,-0.0769230769230769,-0.4615384615384615,-0.1538461538461538,0.0
132,18/11/00,Leeds,West Ham,0,1,20,17,19,15,1.3571428571428572,1.0714285714285714,14.0,5,8,0,0,0,0,0,0,0,0,0.0714285714285714,0.1428571428571428,0.2857142857142857,-0.2142857142857142
145,25/11/00,Southampton,West Ham,2,3,19,18,24,15,1.1333333333333333,1.2,15.0,7,10,0,0,0,0,0,0,0,0,-0.3333333333333333,0.2,-0.0666666666666666,-0.2
156,02/12/00,West Ham,Middlesbrough,1,0,21,19,17,26,1.3125,0.6875,16.0,13,1,0,0,0,0,0,0,1,0,0.25,-0.4375,0.625,0.75
166,09/12/00,West Ham,Aston Villa,1,1,22,19,17,14,1.411764705882353,1.4705882352941178,17.0,13,6,0,0,0,0,0,0,0,0,0.2941176470588235,0.2941176470588235,-0.0588235294117647,0.4117647058823529
171,16/12/00,Everton,West Ham,1,1,19,23,28,18,1.1666666666666667,1.3888888888888888,18.0,9,13,1,0,0,0,1,0,0,0,-0.5,0.2777777777777778,-0.2222222222222222,-0.2222222222222222
184,23/12/00,Leicester,West Ham,2,1,20,24,14,19,1.6842105263157894,1.368421052631579,19.0,9,11,0,0,0,0,1,0,0,0,0.3157894736842105,0.2631578947368421,0.3157894736842105,-0.1052631578947368
197,26/12/00,West Ham,Charlton,5,0,25,26,21,30,1.3,1.25,20.0,8,4,0,0,0,0,0,0,0,0,0.2,-0.2,0.05,0.2
212,01/01/01,Man United,West Ham,3,1,48,31,15,24,2.136363636363636,1.318181818181818,22.0,8,5,0,0,0,0,0,0,0,0,1.5,0.3181818181818182,0.8181818181818182,0.1363636363636363
223,13/01/01,West Ham,Sunderland,0,2,31,29,26,22,1.2608695652173914,1.6956521739130437,23.0,4,10,0,0,0,0,0,0,0,0,0.217391304347826,0.3043478260869565,-0.4347826086956521,-0.2608695652173913
234,22/01/01,Charlton,West Ham,1,1,31,32,36,27,1.3333333333333333,1.25,24.0,10,4,0,0,0,0,0,0,0,0,-0.2083333333333333,0.2083333333333333,0.0833333333333333,0.25
244,31/01/01,West Ham,Tottenham,0,0,32,30,27,34,1.24,1.24,25.0,5,5,0,0,0,0,0,0,0,0,0.2,-0.16,0.0,0.0
250,03/02/01,Liverpool,West Ham,3,0,46,32,27,30,1.6923076923076923,1.1923076923076923,26.0,11,2,0,0,0,0,0,0,0,0,0.7307692307692307,0.0769230769230769,0.5,0.3461538461538461
264,12/02/01,West Ham,Coventry,1,1,33,23,31,45,1.1851851851851851,0.7777777777777778,27.0,3,1,0,0,0,0,0,0,0,0,0.074074074074074,-0.8148148148148148,0.4074074074074074,0.074074074074074
265,24/02/01,Bradford,West Ham,1,2,16,33,48,31,0.5925925925925926,1.1851851851851851,27.0,1,3,0,0,0,0,0,0,0,0,-1.1851851851851851,0.074074074074074,-0.5925925925925926,-0.074074074074074
274,03/03/01,Arsenal,West Ham,3,0,43,35,23,32,1.7857142857142858,1.25,28.0,11,6,0,0,0,0,0,0,0,0,0.7142857142857143,0.1071428571428571,0.5357142857142857,0.1785714285714285
284,07/03/01,West Ham,Chelsea,0,2,35,50,35,33,1.206896551724138,1.4482758620689655,29.0,5,8,0,0,0,0,0,0,0,0,0.0,0.5862068965517241,-0.2413793103448276,-0.1034482758620689
293,17/03/01,West Ham,Ipswich,0,1,35,43,37,36,1.1666666666666667,1.5333333333333334,30.0,4,6,0,0,0,0,0,0,0,0,-0.0666666666666666,0.2333333333333333,-0.3666666666666666,-0.0666666666666666
303,31/03/01,West Ham,Everton,0,2,35,31,38,44,1.1290322580645162,1.032258064516129,31.0,4,5,0,0,0,0,0,0,0,0,-0.0967741935483871,-0.4193548387096774,0.0967741935483871,-0.032258064516129
307,07/04/01,Aston Villa,West Ham,2,2,34,35,31,38,1.3225806451612905,1.1290322580645162,31.0,8,4,0,0,0,0,0,0,0,0,0.0967741935483871,-0.0967741935483871,0.1935483870967742,0.1290322580645161
326,14/04/01,West Ham,Derby,3,1,37,31,42,51,1.0909090909090908,1.0606060606060606,33.0,1,7,0,0,1,0,0,0,0,0,-0.1515151515151515,-0.6060606060606061,0.0303030303030303,-0.1818181818181818
331,16/04/01,Newcastle,West Ham,2,1,39,40,46,43,1.2647058823529411,1.1470588235294117,34.0,5,4,0,0,0,0,0,0,1,0,-0.2058823529411764,-0.088235294117647,0.1176470588235294,0.0294117647058823
342,21/04/01,West Ham,Leeds,0,2,41,52,45,39,1.1142857142857143,1.6857142857142855,35.0,4,15,0,0,0,0,1,1,0,0,-0.1142857142857142,0.3714285714285714,-0.5714285714285714,-0.3142857142857143
348,28/04/01,Man City,West Ham,1,0,37,41,60,45,0.8571428571428571,1.1142857142857143,35.0,4,4,0,0,0,0,0,0,0,0,-0.6571428571428571,-0.1142857142857142,-0.2571428571428571,0.0
364,05/05/01,West Ham,Southampton,3,0,41,35,48,45,1.054054054054054,1.2432432432432432,37.0,4,2,0,0,0,0,0,0,0,0,-0.1891891891891892,-0.2702702702702703,-0.1891891891891892,0.054054054054054
376,19/05/01,Middlesbrough,West Ham,2,1,42,44,43,48,1.0263157894736843,1.105263157894737,38.0,7,6,0,0,0,0,0,0,0,0,-0.0263157894736842,-0.1052631578947368,-0.0789473684210526,0.0263157894736842
384,18/08/01,Liverpool,West Ham,2,1,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
402,25/08/01,West Ham,Leeds,0,0,1,4,2,1,0.3333333333333333,2.0,3.0,1,6,0,0,0,0,0,0,0,0,-0.3333333333333333,1.0,-1.6666666666666667,-1.6666666666666667
407,08/09/01,Derby,West Ham,0,0,3,1,4,2,1.0,0.3333333333333333,3.0,3,1,0,0,0,0,0,0,0,0,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.6666666666666666
420,15/09/01,Middlesbrough,West Ham,2,0,1,1,11,4,0.0,0.4,5.0,0,2,0,0,0,0,0,0,0,0,-2.0,-0.6,-0.4,-0.4
