Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
1909,14/08/05,Wigan,Chelsea,0,1,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1912,20/08/05,Charlton,Wigan,1,0,3,0,1,1,1.5,0.0,2.0,3,0,0,0,0,0,0,0,0,0,1.0,-0.5,1.5,1.5
1933,27/08/05,Wigan,Sunderland,1,0,1,2,2,6,0.75,0.0,4.0,3,0,0,0,0,0,0,0,0,0,-0.25,-1.0,0.75,0.75
1943,10/09/05,West Brom,Wigan,1,2,4,3,8,3,0.8,1.2,5.0,4,6,0,0,0,0,0,0,0,0,-0.8,0.0,-0.4,-0.4
1954,18/09/05,Wigan,Middlesbrough,1,1,4,5,4,6,1.1666666666666667,1.1666666666666667,6.0,7,7,0,0,0,0,0,0,0,0,0.0,-0.1666666666666666,0.0,0.0
1959,24/09/05,Everton,Wigan,0,1,1,4,6,4,0.5,1.1666666666666667,6.0,3,7,0,0,0,0,0,0,0,0,-0.8333333333333334,0.0,-0.6666666666666666,-0.6666666666666666
1975,02/10/05,Wigan,Bolton,2,1,7,8,5,4,1.625,1.75,8.0,13,13,0,0,0,0,0,0,0,0,0.25,0.5,-0.125,0.0
1982,15/10/05,Wigan,Newcastle,1,0,8,5,5,7,1.7777777777777777,1.0,9.0,13,8,0,0,0,0,0,0,0,0,0.3333333333333333,-0.2222222222222222,0.7777777777777778,0.5555555555555556
1987,22/10/05,Aston Villa,Wigan,0,2,8,8,14,5,0.6666666666666666,1.7777777777777777,9.0,4,13,0,0,0,0,0,0,0,0,-0.6666666666666666,0.3333333333333333,-1.1111111111111112,-1.0
2003,29/10/05,Wigan,Fulham,1,0,11,10,5,14,2.0,0.8181818181818182,11.0,15,4,1,1,0,0,0,0,1,0,0.5454545454545454,-0.3636363636363636,1.181818181818182,1.0
2011,05/11/05,Portsmouth,Wigan,0,2,11,13,13,5,0.8333333333333334,2.083333333333333,12.0,5,15,0,0,0,0,1,1,0,0,-0.1666666666666666,0.6666666666666666,-1.25,-0.8333333333333334
2022,19/11/05,Wigan,Arsenal,2,3,15,19,8,10,1.9230769230769231,1.7692307692307692,13.0,12,10,1,0,0,0,0,0,0,0,0.5384615384615384,0.6923076923076923,0.1538461538461538,0.1538461538461538
2030,26/11/05,Wigan,Tottenham,1,2,16,14,10,9,1.7857142857142858,1.5,14.0,9,6,1,0,0,0,0,0,0,0,0.4285714285714285,0.3571428571428571,0.2857142857142857,0.2142857142857142
2039,03/12/05,Liverpool,Wigan,3,0,15,16,8,10,1.7857142857142858,1.7857142857142858,14.0,15,9,1,1,0,0,1,0,0,0,0.5,0.4285714285714285,0.0,0.4285714285714285
2050,10/12/05,Chelsea,Wigan,1,0,34,16,7,14,2.5,1.5625,16.0,12,3,0,0,0,0,0,0,0,0,1.6875,0.125,0.9375,0.5625
2057,14/12/05,Man United,Wigan,4,0,25,16,14,14,1.9375,1.5625,16.0,13,3,1,0,0,0,0,0,0,0,0.6875,0.125,0.375,0.625
2064,17/12/05,Wigan,Charlton,3,0,16,21,18,26,1.4705882352941178,1.2941176470588236,17.0,0,3,0,0,1,1,0,0,1,0,-0.1176470588235294,-0.2941176470588235,0.1764705882352941,-0.1764705882352941
2076,26/12/05,Wigan,Man City,4,3,19,24,18,17,1.5555555555555556,1.5,18.0,3,7,0,0,1,0,0,0,0,0,0.0555555555555555,0.3888888888888889,0.0555555555555555,-0.2222222222222222
2083,28/12/05,West Ham,Wigan,0,2,26,23,23,21,1.368421052631579,1.631578947368421,19.0,7,6,0,0,0,0,0,0,1,0,0.1578947368421052,0.1052631578947368,-0.2631578947368421,0.0526315789473684
2093,31/12/05,Wigan,Blackburn,0,3,25,24,21,24,1.7,1.35,20.0,9,9,0,0,0,0,0,0,0,0,0.2,0.0,0.35,0.0
2094,02/01/06,Birmingham,Wigan,2,0,13,25,29,21,0.65,1.7,20.0,4,9,0,0,0,0,0,0,0,0,-0.8,0.2,-1.05,-0.25
2113,15/01/06,Wigan,West Brom,0,1,25,20,26,31,1.5454545454545454,0.8636363636363636,22.0,9,3,1,0,0,0,0,0,0,0,-0.0454545454545454,-0.5,0.6818181818181818,0.2727272727272727
2117,21/01/06,Middlesbrough,Wigan,2,3,25,25,37,26,1.0,1.5454545454545454,22.0,3,9,0,0,0,0,1,0,0,0,-0.5454545454545454,-0.0454545454545454,-0.5454545454545454,-0.2727272727272727
2127,31/01/06,Wigan,Everton,1,1,25,15,27,31,1.4782608695652173,1.1304347826086956,23.0,6,9,0,0,0,0,0,0,0,0,-0.0869565217391304,-0.6956521739130435,0.3478260869565217,-0.1304347826086956
2135,04/02/06,Bolton,Wigan,1,1,29,28,22,29,1.5833333333333333,1.5416666666666667,24.0,7,6,0,0,0,0,0,0,0,0,0.2916666666666667,-0.0416666666666666,0.0416666666666666,0.0416666666666666
2151,11/02/06,Wigan,Liverpool,0,1,30,31,31,17,1.5,1.8461538461538465,26.0,5,4,0,0,0,0,0,0,0,0,-0.0384615384615384,0.5384615384615384,-0.3461538461538461,0.0384615384615384
2157,19/02/06,Tottenham,Wigan,2,2,34,30,21,31,1.6923076923076923,1.5,26.0,7,5,0,0,0,0,0,0,0,0,0.5,-0.0384615384615384,0.1923076923076923,0.0769230769230769
2176,06/03/06,Wigan,Man United,1,2,32,54,34,28,1.4285714285714286,2.0357142857142856,28.0,6,12,0,0,0,0,0,0,0,0,-0.0714285714285714,0.9285714285714286,-0.6071428571428571,-0.2142857142857142
2183,11/03/06,Sunderland,Wigan,0,1,19,33,51,36,0.3448275862068966,1.3793103448275863,29.0,1,3,0,0,0,0,0,0,0,0,-1.103448275862069,-0.1034482758620689,-1.0344827586206895,-0.0689655172413793
2193,18/03/06,Man City,Wigan,0,1,39,34,34,36,1.3333333333333333,1.4333333333333331,30.0,6,5,0,0,0,0,0,0,0,0,0.1666666666666666,-0.0666666666666666,-0.1,0.0333333333333333
2202,25/03/06,Wigan,West Ham,1,2,35,46,36,45,1.4838709677419355,1.4516129032258065,31.0,7,7,0,0,0,0,0,0,0,0,-0.032258064516129,0.032258064516129,0.032258064516129,0.0
2217,03/04/06,Blackburn,Wigan,1,1,42,36,36,38,1.625,1.4375,32.0,12,7,0,0,0,0,0,0,0,0,0.1875,-0.0625,0.1875,0.15625
2222,08/04/06,Wigan,Birmingham,1,1,37,24,39,44,1.4242424242424243,0.8484848484848485,33.0,7,5,0,0,0,0,0,0,0,0,-0.0606060606060606,-0.6060606060606061,0.5757575757575758,0.0606060606060606
2234,15/04/06,Newcastle,Wigan,3,1,36,38,40,40,1.3235294117647058,1.411764705882353,34.0,6,8,0,0,1,0,0,0,0,0,-0.1176470588235294,-0.0588235294117647,-0.088235294117647,-0.0588235294117647
2245,18/04/06,Wigan,Aston Villa,3,2,39,37,43,47,1.3714285714285714,1.1142857142857143,35.0,5,5,0,0,0,0,0,0,0,0,-0.1142857142857142,-0.2857142857142857,0.2571428571428571,0.0
2252,24/04/06,Fulham,Wigan,1,0,44,42,55,45,1.1666666666666667,1.4166666666666667,36.0,10,5,0,0,0,0,0,0,0,0,-0.3055555555555556,-0.0833333333333333,-0.25,0.1388888888888889
2261,29/04/06,Wigan,Portsmouth,1,2,42,34,46,58,1.3783783783783785,0.945945945945946,37.0,5,8,0,0,0,0,0,0,0,0,-0.1081081081081081,-0.6486486486486487,0.4324324324324324,-0.081081081081081
2270,07/05/06,Arsenal,Wigan,4,2,64,43,29,48,1.6842105263157894,1.3421052631578947,38.0,11,4,0,0,0,0,0,0,0,0,0.9210526315789472,-0.131578947368421,0.3421052631578947,0.1842105263157894
2283,19/08/06,Newcastle,Wigan,2,1,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2304,26/08/06,Wigan,Reading,1,0,2,4,2,4,1.0,1.0,3.0,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2314,09/09/06,Portsmouth,Wigan,1,0,7,2,0,3,1.75,0.75,4.0,7,3,0,0,0,0,0,0,0,0,1.75,-0.25,1.0,1.0
2320,16/09/06,Everton,Wigan,2,2,8,4,2,5,2.0,0.8,5.0,10,4,0,0,0,0,0,0,0,0,1.2,-0.2,1.2,1.2
2336,23/09/06,Wigan,Watford,1,1,5,3,6,6,0.8333333333333334,0.3333333333333333,6.0,5,2,0,0,0,0,0,0,0,0,-0.1666666666666666,-0.5,0.5,0.5
2344,01/10/06,Blackburn,Wigan,2,1,6,6,8,8,1.1428571428571428,0.7142857142857143,7.0,8,5,0,0,0,0,0,0,0,0,-0.2857142857142857,-0.2857142857142857,0.4285714285714285,0.4285714285714285
2356,14/10/06,Wigan,Man United,1,3,7,14,11,4,0.625,2.0,8.0,2,10,0,0,0,0,0,0,0,0,-0.5,1.25,-1.375,-1.0
2363,21/10/06,Wigan,Man City,4,0,11,6,11,9,0.8888888888888888,1.0,9.0,5,5,0,0,0,0,0,0,0,0,0.0,-0.3333333333333333,-0.1111111111111111,0.0
2371,28/10/06,Fulham,Wigan,0,1,11,12,14,11,1.3,1.1,10.0,6,7,0,0,0,0,0,0,0,0,-0.3,0.1,0.2,-0.1
2379,04/11/06,Bolton,Wigan,0,1,10,12,4,11,2.0,1.1,10.0,13,7,0,0,0,0,0,0,0,0,0.6,0.1,0.9,0.6
2396,11/11/06,Wigan,Charlton,3,2,16,7,13,15,1.4166666666666667,0.6666666666666666,12.0,12,5,0,0,0,0,0,0,0,0,0.25,-0.6666666666666666,0.75,0.5833333333333334
2408,19/11/06,Wigan,Aston Villa,0,0,16,15,13,9,1.3846153846153846,1.6153846153846154,13.0,13,8,1,0,0,0,0,0,0,0,0.2307692307692307,0.4615384615384615,-0.2307692307692307,0.3846153846153846
2417,26/11/06,Tottenham,Wigan,3,1,10,17,15,16,1.1428571428571428,1.2857142857142858,14.0,8,10,0,0,0,0,1,0,0,0,-0.3571428571428571,0.0714285714285714,-0.1428571428571428,-0.1428571428571428
2430,02/12/06,Wigan,Liverpool,0,4,19,15,20,15,1.3125,1.375,16.0,7,8,0,0,0,0,0,0,0,0,-0.0625,0.0,-0.0625,-0.0625
2436,06/12/06,West Ham,Wigan,0,2,10,19,18,20,0.875,1.3125,16.0,6,7,0,0,0,0,0,0,0,0,-0.5,-0.0625,-0.4375,-0.0625
2441,09/12/06,Middlesbrough,Wigan,1,1,13,20,21,21,0.9411764705882352,1.2941176470588236,17.0,5,5,0,0,0,0,0,0,0,0,-0.4705882352941176,-0.0588235294117647,-0.3529411764705882,0.0
2448,13/12/06,Wigan,Arsenal,0,1,20,26,21,13,1.2941176470588236,1.5294117647058822,17.0,5,5,0,0,0,0,0,0,0,0,-0.0588235294117647,0.7647058823529411,-0.2352941176470588,0.0
2454,16/12/06,Wigan,Sheffield United,0,1,20,13,22,22,1.2222222222222223,0.9444444444444444,18.0,4,7,0,0,0,0,0,0,0,0,-0.1111111111111111,-0.5,0.2777777777777778,-0.1666666666666666
2468,23/12/06,Wigan,Chelsea,2,3,20,30,23,11,1.1578947368421053,2.210526315789474,19.0,4,11,0,0,0,0,0,0,0,0,-0.1578947368421052,1.0,-1.0526315789473684,-0.3684210526315789
2473,26/12/06,Man United,Wigan,3,1,41,22,10,26,2.35,1.1,20.0,12,4,1,0,0,0,0,0,0,0,1.55,-0.2,1.25,0.4
2495,01/01/07,Wigan,Blackburn,0,3,23,24,32,29,1.0,1.2727272727272727,22.0,0,12,0,0,1,1,0,0,0,0,-0.4090909090909091,-0.2272727272727272,-0.2727272727272727,-0.5454545454545454
2501,13/01/07,Chelsea,Wigan,4,0,37,23,17,36,2.0869565217391304,0.9565217391304348,23.0,9,0,0,0,0,0,0,0,1,1,0.8695652173913043,-0.5652173913043478,1.1304347826086956,0.391304347826087
2517,21/01/07,Wigan,Everton,0,2,23,29,38,23,0.9166666666666666,1.3333333333333333,24.0,0,8,0,0,1,1,0,0,0,0,-0.625,0.25,-0.4166666666666667,-0.3333333333333333
2520,30/01/07,Reading,Wigan,3,2,34,25,32,41,1.36,0.88,25.0,8,0,0,0,0,0,0,0,1,1,0.08,-0.64,0.48,0.32
2535,03/02/07,Wigan,Portsmouth,1,0,26,34,41,24,0.9615384615384616,1.4615384615384617,26.0,3,3,0,0,1,0,0,0,0,0,-0.5769230769230769,0.3846153846153846,-0.5,0.0
2545,11/02/07,Arsenal,Wigan,2,1,48,27,22,43,1.8148148148148149,0.925925925925926,27.0,13,3,1,0,0,0,0,0,1,0,0.9629629629629628,-0.5925925925925926,0.8888888888888888,0.3703703703703703
